municipio;uf;area
PIRACANJUBA;GO;2380,732
PIRANHAS;GO;2047,765
PIRENÓPOLIS;GO;2205,01
PIRES DO RIO;GO;1073,36
PLANALTINA;GO;2550,523
PONTALINA;GO;1436,954
PORANGATU;GO;4827,189
PORTEIRÃO;GO;603,941
PORTELÂNDIA;GO;556,576
POSSE;GO;2070,544
PROFESSOR JAMIL;GO;349,419
QUIRINÓPOLIS;GO;3789,084
RIALMA;GO;268,466
RIANÁPOLIS;GO;159,255
RIO QUENTE;GO;243,488
RIO VERDE;GO;8386,831
RUBIATABA;GO;748,264
SANCLERLÂNDIA;GO;509,213
SANTA BÁRBARA DE GOIÁS;GO;138,234
SANTA CRUZ DE GOIÁS;GO;1108,963
SANTA FÉ DE GOIÁS;GO;1169,167
SANTA HELENA DE GOIÁS;GO;1141,389
SANTA ISABEL;GO;807,204
SANTA RITA DO ARAGUAIA;GO;1355,782
SANTA RITA DO NOVO DESTINO;GO;956,041
SANTA ROSA DE GOIÁS;GO;164,097
SANTA TEREZA DE GOIÁS;GO;794,556
SANTA TEREZINHA DE GOIÁS;GO;1202,246
SANTO ANTÔNIO DA BARRA;GO;451,598
SANTO ANTÔNIO DE GOIÁS;GO;132,805
SANTO ANTÔNIO DO DESCOBERTO;GO;945,65
SÃO DOMINGOS;GO;3334,497
SÃO FRANCISCO DE GOIÁS;GO;415,791
SÃO JOÃO D'ALIANÇA;GO;3327,379
SÃO JOÃO DA PARAÚNA;GO;287,825
SÃO LUÍS DE MONTES BELOS;GO;829,463
SÃO LUIZ DO NORTE;GO;586,057
SÃO MIGUEL DO ARAGUAIA;GO;6154,228
SÃO MIGUEL DO PASSA QUATRO;GO;537,785
SÃO PATRÍCIO;GO;171,957
SÃO SIMÃO;GO;415,907
SENADOR CANEDO;GO;248,291
SERRANÓPOLIS;GO;5526,723
SILVÂNIA;GO;2348,99
SIMOLÂNDIA;GO;347,976
SÍTIO D'ABADIA;GO;1610,806
TAQUARAL DE GOIÁS;GO;204,218
TERESINA DE GOIÁS;GO;774,639
TEREZÓPOLIS DE GOIÁS;GO;106,913
TRÊS RANCHOS;GO;281,893
TRINDADE;GO;710,328
TROMBAS;GO;799,125
TURVÂNIA;GO;478,836
TURVELÂNDIA;GO;935,272
UIRAPURU;GO;1153,475
URUAÇU;GO;2141,824
URUANA;GO;522,506
URUTAÍ;GO;626,722
VALPARAÍSO DE GOIÁS;GO;60,95
VARJÃO;GO;519,194
VIANÓPOLIS;GO;954,284
VICENTINÓPOLIS;GO;737,255
VILA BOA;GO;1060,172
VILA PROPÍCIO;GO;2181,583
AFONSO CLÁUDIO;ES;941,188
ÁGUIA BRANCA;ES;454,448
ÁGUA DOCE DO NORTE;ES;473,729
ALEGRE;ES;756,86
ALFREDO CHAVES;ES;615,677
ALTO RIO NOVO;ES;227,617
ANCHIETA;ES;409,691
APIACÁ;ES;193,984
ARACRUZ;ES;1420,285
ATÍLIO VIVÁCQUA;ES;232,868
BAIXO GUANDU;ES;909,039
BARRA DE SÃO FRANCISCO;ES;944,521
BOA ESPERANÇA;ES;428,716
BOM JESUS DO NORTE;ES;89,084
BREJETUBA;ES;354,404
CACHOEIRO DE ITAPEMIRIM;ES;864,583
CARIACICA;ES;279,718
CASTELO;ES;663,515
COLATINA;ES;1398,219
CONCEIÇÃO DA BARRA;ES;1182,587
CONCEIÇÃO DO CASTELO;ES;369,778
DIVINO DE SÃO LOURENÇO;ES;174,039
DOMINGOS MARTINS;ES;1229,21
DORES DO RIO PRETO;ES;159,298
ECOPORANGA;ES;2285,369
FUNDÃO;ES;286,854
GOVERNADOR LINDENBERG;ES;360,016
GUAÇUÍ;ES;468,185
GUARAPARI;ES;589,825
IBATIBA;ES;240,278
IBIRAÇU;ES;201,248
IBITIRAMA;ES;330,874
ICONHA;ES;203,528
IRUPI;ES;184,807
ITAGUAÇU;ES;535,021
ITAPEMIRIM;ES;550,71
ITARANA;ES;295,189
IÚNA;ES;460,586
JAGUARÉ;ES;659,751
JERÔNIMO MONTEIRO;ES;177,342
JOÃO NEIVA;ES;284,735
LARANJA DA TERRA;ES;458,37
LINHARES;ES;3496,263
MANTENÓPOLIS;ES;321,418
MARATAÍZES;ES;130,268
MARECHAL FLORIANO;ES;285,495
MARILÂNDIA;ES;327,642
MIMOSO DO SUL;ES;869,439
MONTANHA;ES;1099,06
MUCURICI;ES;540,529
MUNIZ FREIRE;ES;678,804
MUQUI;ES;327,268
NOVA VENÉCIA;ES;1439,571
PANCAS;ES;837,842
PEDRO CANÁRIO;ES;433,453
PINHEIROS;ES;973,136
PIÚMA;ES;74,046
PONTO BELO;ES;360,11
PRESIDENTE KENNEDY;ES;594,897
RIO BANANAL;ES;641,929
RIO NOVO DO SUL;ES;204,464
SANTA LEOPOLDINA;ES;718,325
SANTA MARIA DE JETIBÁ;ES;735,198
SANTA TERESA;ES;683,032
SÃO DOMINGOS DO NORTE;ES;298,58
SÃO GABRIEL DA PALHA;ES;434,887
SÃO JOSÉ DO CALÇADO;ES;273,489
SÃO MATEUS;ES;2346,049
SÃO ROQUE DO CANAÃ;ES;341,944
SERRA;ES;547,631
SOORETAMA;ES;587,036
VARGEM ALTA;ES;417,76
VENDA NOVA DO IMIGRANTE;ES;185,909
VIANA;ES;312,279
VILA PAVÃO;ES;433,257
VILA VALÉRIO;ES;470,343
VILA VELHA;ES;210,225
VITÓRIA;ES;97,123
BRASÍLIA;DF;5760,784
ABAIARA;CE;180,833
ACARAPE;CE;130,002
ACARAÚ;CE;842,471
ACOPIARA;CE;2254,279
AIUABA;CE;2438,563
ALCÂNTARAS;CE;135,76
ALTANEIRA;CE;72,675
ALTO SANTO;CE;1345,701
AMONTADA;CE;1175,044
ANTONINA DO NORTE;CE;259,706
APUIARÉS;CE;543,98
AQUIRAZ;CE;480,236
ARACATI;CE;1227,197
ARACOIABA;CE;643,988
ARARENDÁ;CE;342,301
ARARIPE;CE;1097,339
ARATUBA;CE;119,758
ARNEIROZ;CE;1068,437
ASSARÉ;CE;1155,124
AURORA;CE;885,87
BAIXIO;CE;145,556
BANABUIÚ;CE;1080,986
BARBALHA;CE;608,158
BARREIRA;CE;260,003
BARRO;CE;711,346
BARROQUINHA;CE;385,583
BATURITÉ;CE;314,075
BEBERIBE;CE;1596,751
BELA CRUZ;CE;842,106
BOA VIAGEM;CE;2835,037
BREJO SANTO;CE;654,658
CAMOCIM;CE;1120,452
CAMPOS SALES;CE;1082,582
CANINDÉ;CE;3032,39
CAPISTRANO;CE;226,549
CARIDADE;CE;926,271
CARIRÉ;CE;755,597
CARIRIAÇU;CE;634,179
CARIÚS;CE;1036,417
CARNAUBAL;CE;363,22
CASCAVEL;CE;838,115
CATARINA;CE;488,153
CATUNDA;CE;784,022
CAUCAIA;CE;1223,246
CEDRO;CE;729,97
CHAVAL;CE;237,248
CHORÓ;CE;815,268
CHOROZINHO;CE;296,431
COREAÚ;CE;750,332
CRATEÚS;CE;2981,459
CRATO;CE;1138,15
CROATÁ;CE;696,348
CRUZ;CE;335,921
DEPUTADO IRAPUAN PINHEIRO;CE;471,134
ERERÉ;CE;362,906
EUSÉBIO;CE;78,818
FARIAS BRITO;CE;530,54
FORQUILHA;CE;568,778
FORTALEZA;CE;312,353
FORTIM;CE;285,024
FRECHEIRINHA;CE;210,284
GENERAL SAMPAIO;CE;230,371
GRAÇA;CE;258,942
GRANJA;CE;2663,174
GRANJEIRO;CE;111,528
GROAÍRAS;CE;155,681
GUAIÚBA;CE;256,053
GUARACIABA DO NORTE;CE;624,606
GUARAMIRANGA;CE;90,817
HIDROLÂNDIA;CE;926,587
HORIZONTE;CE;160,557
IBARETAMA;CE;879,255
IBIAPINA;CE;414,092
IBICUITINGA;CE;423,856
ICAPUÍ;CE;421,44
ICÓ;CE;1865,862
IGUATU;CE;992,208
INDEPENDÊNCIA;CE;3222,381
IPAPORANGA;CE;704,773
IPAUMIRIM;CE;276,508
IPU;CE;626,049
IPUEIRAS;CE;1483,258
IRACEMA;CE;839,174
IRAUÇUBA;CE;1466,412
ITAIÇABA;CE;213,604
ITAITINGA;CE;153,686
ITAPAJÉ;CE;432,188
ITAPIPOCA;CE;1600,358
ITAPIÚNA;CE;593,231
ITAREMA;CE;714,833
ITATIRA;CE;829,626
JAGUARETAMA;CE;1826,826
JAGUARIBARA;CE;622,963
JAGUARIBE;CE;1877,062
JAGUARUANA;CE;854,362
JARDIM;CE;544,98
JATI;CE;368,359
JIJOCA DE JERICOACOARA;CE;209,029
JUAZEIRO DO NORTE;CE;258,788
JUCÁS;CE;940,336
LAVRAS DA MANGABEIRA;CE;945,263
LIMOEIRO DO NORTE;CE;744,525
MADALENA;CE;997,781
MARACANAÚ;CE;105,071
MARANGUAPE;CE;583,505
MARCO;CE;573,61
MARTINÓPOLE;CE;303,445
MASSAPÊ;CE;567,78
MAURITI;CE;1079,011
MERUOCA;CE;151,651
MILAGRES;CE;579,097
MILHÃ;CE;502,137
MIRAÍMA;CE;708,678
MISSÃO VELHA;CE;613,317
MOMBAÇA;CE;2115,748
MONSENHOR TABOSA;CE;892,538
MORADA NOVA;CE;2763,971
MORAÚJO;CE;414,446
MORRINHOS;CE;411,586
MUCAMBO;CE;192,19
MULUNGU;CE;97,951
NOVA OLINDA;CE;282,584
NOVA RUSSAS;CE;736,911
NOVO ORIENTE;CE;947,44
OCARA;CE;763,075
ORÓS;CE;577,526
PACAJUS;CE;250,304
PACATUBA;CE;133,236
PACOTI;CE;112,433
PACUJÁ;CE;88,355
PALHANO;CE;436,98
PALMÁCIA;CE;128,896
PARACURU;CE;304,734
PARAIPABA;CE;289,231
PARAMBU;CE;2313,868
PARAMOTI;CE;539,238
PEDRA BRANCA;CE;1302,081
PENAFORTE;CE;150,536
PENTECOSTE;CE;1379,836
PEREIRO;CE;435,868
PINDORETAMA;CE;74,033
PIQUET CARNEIRO;CE;589,601
PIRES FERREIRA;CE;244,464
PORANGA;CE;1310,771
PORTEIRAS;CE;224,86
POTENGI;CE;343,264
POTIRETAMA;CE;409,137
QUITERIANÓPOLIS;CE;1041,832
QUIXADÁ;CE;2020,586
QUIXELÔ;CE;605,345
QUIXERAMOBIM;CE;3324,987
QUIXERÉ;CE;613,099
REDENÇÃO;CE;247,989
RERIUTABA;CE;372,949
RUSSAS;CE;1611,091
SABOEIRO;CE;1381,274
SALITRE;CE;806,253
SANTANA DO ACARAÚ;CE;972,573
SANTANA DO CARIRI;CE;855,165
SANTA QUITÉRIA;CE;4262,298
SÃO BENEDITO;CE;350,847
SÃO GONÇALO DO AMARANTE;CE;842,635
SÃO JOÃO DO JAGUARIBE;CE;279,451
SÃO LUÍS DO CURU;CE;122,865
SENADOR POMPEU;CE;956,882
SENADOR SÁ;CE;424,642
SOBRAL;CE;2068,474
SOLONÓPOLE;CE;1535,855
TABULEIRO DO NORTE;CE;849,145
TAMBORIL;CE;2014,543
TARRAFAS;CE;412,719
TAUÁ;CE;4010,618
TEJUÇUOCA;CE;758,707
TIANGUÁ;CE;909,853
TRAIRI;CE;928,725
TURURU;CE;201,27
UBAJARA;CE;423,673
UMARI;CE;263,183
UMIRIM;CE;315,648
URUBURETAMA;CE;99,4
URUOCA;CE;697,683
VARJOTA;CE;179,239
VÁRZEA ALEGRE;CE;829,976
VIÇOSA DO CEARÁ;CE;1310,91
ABAÍRA;BA;538,677
ABARÉ;BA;1604,923
ACAJUTIBA;BA;181,475
ADUSTINA;BA;629,099
ÁGUA FRIA;BA;742,775
ÉRICO CARDOSO;BA;735,249
AIQUARA;BA;167,877
ALAGOINHAS;BA;707,835
ALCOBAÇA;BA;1477,929
ALMADINA;BA;245,236
AMARGOSA;BA;431,655
AMÉLIA RODRIGUES;BA;166,872
AMÉRICA DOURADA;BA;822,373
ANAGÉ;BA;1899,683
ANDARAÍ;BA;1590,316
ANDORINHA;BA;1362,386
ANGICAL;BA;1530,05
ANGUERA;BA;187,84
ANTAS;BA;319,745
ANTÔNIO CARDOSO;BA;293,53
ANTÔNIO GONÇALVES;BA;345,284
APORÁ;BA;479,262
APUAREMA;BA;150,83
ARACATU;BA;1489,803
ARAÇÁS;BA;474,577
ARACI;BA;1496,245
ARAMARI;BA;368,947
ARATACA;BA;435,962
ARATUÍPE;BA;174,012
AURELINO LEAL;BA;445,394
BAIANÓPOLIS;BA;3320,723
BAIXA GRANDE;BA;967,514
BANZAÊ;BA;409,507
BARRA;BA;11428,112
BARRA DA ESTIVA;BA;1657,413
BARRA DO CHOÇA;BA;765,936
BARRA DO MENDES;BA;1586,629
BARRA DO ROCHA;BA;214,411
BARREIRAS;BA;8051,274
BARRO ALTO;BA;414,51
BARROCAS;BA;207,297
BARRO PRETO;BA;201,585
BELMONTE;BA;1939,447
BELO CAMPO;BA;772,756
BIRITINGA;BA;553,762
BOA NOVA;BA;849,538
BOA VISTA DO TUPIM;BA;2972,109
BOM JESUS DA LAPA;BA;4115,51
BOM JESUS DA SERRA;BA;467,813
BONINAL;BA;896,857
BONITO;BA;791,276
BOQUIRA;BA;1426,233
BOTUPORÃ;BA;627,612
BREJÕES;BA;518,566
BREJOLÂNDIA;BA;2247,208
BROTAS DE MACAÚBAS;BA;2370,486
BRUMADO;BA;2207,612
BUERAREMA;BA;219,487
BURITIRAMA;BA;4046,736
CAATIBA;BA;512,436
CABACEIRAS DO PARAGUAÇU;BA;222,026
CACHOEIRA;BA;394,894
CACULÉ;BA;610,983
CAÉM;BA;540,908
CAETANOS;BA;767,146
CAETITÉ;BA;2651,536
CAFARNAUM;BA;643,66
CAIRU;BA;448,846
CALDEIRÃO GRANDE;BA;458,311
CAMACAN;BA;584,848
CAMAÇARI;BA;785,421
CAMAMU;BA;839,702
CAMPO ALEGRE DE LOURDES;BA;2914,587
CAMPO FORMOSO;BA;7161,827
CANÁPOLIS;BA;460,388
CANARANA;BA;579,726
CANAVIEIRAS;BA;1334,284
CANDEAL;BA;447,578
CANDEIAS;BA;251,808
CANDIBA;BA;433,642
CÂNDIDO SALES;BA;1169,814
CANSANÇÃO;BA;1351,891
CANUDOS;BA;3565,377
CAPELA DO ALTO ALEGRE;BA;629,586
CAPIM GROSSO;BA;464,776
CARAÍBAS;BA;805,629
CARAVELAS;BA;2377,889
CARDEAL DA SILVA;BA;293,456
CARINHANHA;BA;2525,906
CASA NOVA;BA;9647,072
CASTRO ALVES;BA;713,789
CATOLÂNDIA;BA;702,504
CATU;BA;426,955
CATURAMA;BA;716,261
CENTRAL;BA;566,974
CHORROCHÓ;BA;3005,319
CÍCERO DANTAS;BA;819,969
CIPÓ;BA;168,33
COARACI;BA;274,5
COCOS;BA;10140,572
CONCEIÇÃO DA FEIRA;BA;164,798
CONCEIÇÃO DO ALMEIDA;BA;284,836
CONCEIÇÃO DO COITÉ;BA;1015,252
CONCEIÇÃO DO JACUÍPE;BA;114,869
CONDE;BA;931,106
CONDEÚBA;BA;1348,039
CONTENDAS DO SINCORÁ;BA;977,455
CORAÇÃO DE MARIA;BA;378,42
CORDEIROS;BA;523,64
CORIBE;BA;2662,819
CORONEL JOÃO SÁ;BA;797,434
CORRENTINA;BA;11504,314
COTEGIPE;BA;4282,775
CRAVOLÂNDIA;BA;182,585
CRISÓPOLIS;BA;636,609
CRISTÓPOLIS;BA;1052,837
CRUZ DAS ALMAS;BA;139,117
CURAÇÁ;BA;5950,614
DÁRIO MEIRA;BA;413,637
DIAS D'ÁVILA;BA;183,759
DOM BASÍLIO;BA;689,516
DOM MACEDO COSTA;BA;94,778
ELÍSIO MEDRADO;BA;179,329
ENCRUZILHADA;BA;1890,133
ENTRE RIOS;BA;1187,766
ESPLANADA;BA;1299,355
EUCLIDES DA CUNHA;BA;2025,368
EUNÁPOLIS;BA;1425,97
FÁTIMA;BA;364,419
FEIRA DA MATA;BA;1176,111
FEIRA DE SANTANA;BA;1304,425
FILADÉLFIA;BA;579,686
FIRMINO ALVES;BA;172,353
FLORESTA AZUL;BA;321,013
FORMOSA DO RIO PRETO;BA;15634,328
GANDU;BA;229,631
GAVIÃO;BA;384,592
GENTIO DO OURO;BA;3817,946
GLÓRIA;BA;1566,609
GONGOGI;BA;202,194
GOVERNADOR MANGABEIRA;BA;106,848
GUAJERU;BA;872,867
GUANAMBI;BA;1272,366
GUARATINGA;BA;2189,404
HELIÓPOLIS;BA;313,438
IAÇU;BA;2342,497
IBIASSUCÊ;BA;483,274
IBICARAÍ;BA;230,953
IBICOARA;BA;817,355
IBICUÍ;BA;1139,378
IBIPEBA;BA;1382,008
IBIPITANGA;BA;954,373
IBIQUERA;BA;698,245
IBIRAPITANGA;BA;472,694
IBIRAPUÃ;BA;771,098
IBIRATAIA;BA;318,129
IBITIARA;BA;1834,002
IBITITÁ;BA;573,033
IBOTIRAMA;BA;1740,113
ICHU;BA;138,016
IGAPORÃ;BA;836,586
IGRAPIÚNA;BA;591,312
IGUAÍ;BA;860,223
ILHÉUS;BA;1588,555
INHAMBUPE;BA;1082,283
IPECAETÁ;BA;372,565
IPIAÚ;BA;280,454
IPIRÁ;BA;3105,281
IPUPIARA;BA;1055,76
IRAJUBA;BA;459,047
IRAMAIA;BA;1708,115
IRAQUARA;BA;991,822
IRARÁ;BA;267,88
IRECÊ;BA;319,174
ITABELA;BA;924,914
ITABERABA;BA;2386,39
ITABUNA;BA;401,028
ITACARÉ;BA;726,265
ITAETÉ;BA;1331,822
ITAGI;BA;310,621
ITAGIBÁ;BA;810,993
ITAGIMIRIM;BA;876,8
ITAGUAÇU DA BAHIA;BA;4310,238
ITAJU DO COLÔNIA;BA;1225,287
ITAJUÍPE;BA;270,752
ITAMARAJU;BA;2360,584
ITAMARI;BA;143,479
ITAMBÉ;BA;1534,575
ITANAGRA;BA;533,634
ITANHÉM;BA;1394,174
ITAPARICA;BA;121,373
ITAPÉ;BA;453,144
ITAPEBI;BA;1013,074
ITAPETINGA;BA;1651,158
ITAPICURU;BA;1557,685
ITAPITANGA;BA;420,663
ITAQUARA;BA;344,093
ITARANTIM;BA;1674,029
ITATIM;BA;547,51
ITIRUÇU;BA;322,243
ITIÚBA;BA;1650,593
ITORORÓ;BA;313,839
ITUAÇU;BA;1199,374
ITUBERÁ;BA;415,428
IUIU;BA;1525,141
JABORANDI;BA;9955,113
JACARACI;BA;1332,42
JACOBINA;BA;2192,905
JAGUAQUARA;BA;924,512
JAGUARARI;BA;2466,009
JAGUARIPE;BA;863,424
JANDAÍRA;BA;640,772
JEQUIÉ;BA;2969,039
JEREMOABO;BA;4267,488
JIQUIRIÇÁ;BA;238,602
JITAÚNA;BA;262,05
JOÃO DOURADO;BA;913,258
JUAZEIRO;BA;6721,237
JUCURUÇU;BA;1457,656
JUSSARA;BA;1355,173
JUSSARI;BA;329,19
JUSSIAPE;BA;589,763
LAFAIETE COUTINHO;BA;498,11
LAGOA REAL;BA;912,222
LAJE;BA;449,834
LAJEDÃO;BA;624,353
LAJEDINHO;BA;846,728
LAJEDO DO TABOCAL;BA;382,937
LAMARÃO;BA;189,257
LAPÃO;BA;642,882
LAURO DE FREITAS;BA;58,043
LENÇÓIS;BA;1283,328
LICÍNIO DE ALMEIDA;BA;856,626
LIVRAMENTO DE NOSSA SENHORA;BA;1952,51
LUÍS EDUARDO MAGALHÃES;BA;4036,094
MACAJUBA;BA;701,171
MACARANI;BA;1210,106
MACAÚBAS;BA;2459,102
MACURURÉ;BA;2545,856
MADRE DE DEUS;BA;32,201
MAETINGA;BA;614,834
MAIQUINIQUE;BA;588,297
MAIRI;BA;906,68
MALHADA;BA;1979,194
MALHADA DE PEDRAS;BA;550,55
MANOEL VITORINO;BA;2201,764
MANSIDÃO;BA;3129,588
MARACÁS;BA;2413,27
MARAGOGIPE;BA;437,61
MARAÚ;BA;848,885
MARCIONÍLIO SOUZA;BA;1099,283
MASCOTE;BA;742,689
MATA DE SÃO JOÃO;BA;605,168
MATINA;BA;773,278
MEDEIROS NETO;BA;1311,739
MIGUEL CALMON;BA;1599,672
MILAGRES;BA;420,358
MIRANGABA;BA;1751,778
MIRANTE;BA;1172,86
MONTE SANTO;BA;3034,197
MORPARÁ;BA;2093,872
MORRO DO CHAPÉU;BA;5744,969
MORTUGABA;BA;528,214
MUCUGÊ;BA;2462,153
MUCURI;BA;1787,626
MULUNGU DO MORRO;BA;646,621
MUNDO NOVO;BA;1491,99
MUNIZ FERREIRA;BA;104,54
MUQUÉM DO SÃO FRANCISCO;BA;3852,111
MURITIBA;BA;86,311
MUTUÍPE;BA;275,854
NAZARÉ;BA;278,629
NILO PEÇANHA;BA;388,936
NORDESTINA;BA;465,407
NOVA CANAÃ;BA;804,617
NOVA FÁTIMA;BA;346,784
NOVA IBIÁ;BA;203,198
NOVA ITARANA;BA;475,381
NOVA REDENÇÃO;BA;565,356
NOVA SOURE;BA;966,993
NOVA VIÇOSA;BA;1316,379
NOVO HORIZONTE;BA;627,5
NOVO TRIUNFO;BA;278,487
OLINDINA;BA;637,317
OLIVEIRA DOS BREJINHOS;BA;3313,418
OURIÇANGAS;BA;156,982
OUROLÂNDIA;BA;1544,988
PALMAS DE MONTE ALTO;BA;2560,027
PALMEIRAS;BA;737,454
PARAMIRIM;BA;1087,06
PARATINGA;BA;2624,998
PARIPIRANGA;BA;442,186
PAU BRASIL;BA;626,306
PAULO AFONSO;BA;1544,388
PÉ DE SERRA;BA;596,771
PEDRÃO;BA;158,488
PEDRO ALEXANDRE;BA;889,572
PIATÃ;BA;1825,857
PILÃO ARCADO;BA;11597,923
PINDAÍ;BA;628,468
PINDOBAÇU;BA;495,845
PINTADAS;BA;647,144
PIRAÍ DO NORTE;BA;193,427
PIRIPÁ;BA;511,756
PIRITIBA;BA;980,328
PLANALTINO;BA;955,454
PLANALTO;BA;769
POÇÕES;BA;937,269
POJUCA;BA;314,932
PONTO NOVO;BA;530,144
PORTO SEGURO;BA;2285,734
POTIRAGUÁ;BA;1111,567
PRADO;BA;1692,1
PRESIDENTE DUTRA;BA;232,064
PRESIDENTE JÂNIO QUADROS;BA;1208,549
PRESIDENTE TANCREDO NEVES;BA;441,82
QUEIMADAS;BA;2011,06
QUIJINGUE;BA;1380,798
QUIXABEIRA;BA;366,387
RAFAEL JAMBEIRO;BA;1090,552
REMANSO;BA;4573,505
RETIROLÂNDIA;BA;242,329
RIACHÃO DAS NEVES;BA;5977,931
RIACHÃO DO JACUÍPE;BA;1155,418
RIACHO DE SANTANA;BA;3183,911
RIBEIRA DO AMPARO;BA;644,229
RIBEIRA DO POMBAL;BA;1252,144
RIBEIRÃO DO LARGO;BA;1363,7
RIO DE CONTAS;BA;1115,252
RIO DO ANTÔNIO;BA;777,903
RIO DO PIRES;BA;656,223
RIO REAL;BA;739,775
RODELAS;BA;2207,159
RUY BARBOSA;BA;1991,772
SALINAS DA MARGARIDA;BA;150,569
SALVADOR;BA;693,453
SANTA BÁRBARA;BA;347,021
SANTA BRÍGIDA;BA;934,461
SANTA CRUZ CABRÁLIA;BA;1462,942
SANTA CRUZ DA VITÓRIA;BA;284,083
SANTA INÊS;BA;379,27
SANTALUZ;BA;1623,445
SANTA LUZIA;BA;824,473
SANTA MARIA DA VITÓRIA;BA;1984,91
SANTANA;BA;1909,353
SANTANÓPOLIS;BA;222,686
SANTA RITA DE CÁSSIA;BA;6030,491
SANTA TEREZINHA;BA;719,257
SANTO AMARO;BA;494,502
SANTO ANTÔNIO DE JESUS;BA;261,74
SANTO ESTÊVÃO;BA;360,334
SÃO DESIDÉRIO;BA;15156,712
SÃO DOMINGOS;BA;289,963
SÃO FÉLIX;BA;103,226
SÃO FÉLIX DO CORIBE;BA;1751,671
SÃO FELIPE;BA;222,407
SÃO FRANCISCO DO CONDE;BA;269,715
SÃO GABRIEL;BA;1146,054
SÃO GONÇALO DOS CAMPOS;BA;294,768
SÃO JOSÉ DA VITÓRIA;BA;127,925
SÃO JOSÉ DO JACUÍPE;BA;362,365
SÃO MIGUEL DAS MATAS;BA;230,906
SÃO SEBASTIÃO DO PASSÉ;BA;536,678
SAPEAÇU;BA;131,218
SÁTIRO DIAS;BA;949,223
SAUBARA;BA;166,428
SAÚDE;BA;509,098
SEABRA;BA;2402,17
SEBASTIÃO LARANJEIRAS;BA;1984,511
SENHOR DO BONFIM;BA;789,361
SERRA DO RAMALHO;BA;2340,684
SENTO SÉ;BA;11980,172
SERRA DOURADA;BA;1592,245
SERRA PRETA;BA;595,297
SERRINHA;BA;583,314
SERROLÂNDIA;BA;322,022
SIMÕES FILHO;BA;201,418
SÍTIO DO MATO;BA;1627,806
SÍTIO DO QUINTO;BA;684,089
SOBRADINHO;BA;1355,972
SOUTO SOARES;BA;1026,634
TABOCAS DO BREJO VELHO;BA;1437,189
TANHAÇU;BA;1277,514
TANQUE NOVO;BA;729,516
TANQUINHO;BA;243,839
TAPEROÁ;BA;454,081
TAPIRAMUTÁ;BA;714,691
TEIXEIRA DE FREITAS;BA;1165,622
TEODORO SAMPAIO;BA;244,613
TEOFILÂNDIA;BA;351,892
TEOLÂNDIA;BA;289,782
TERRA NOVA;BA;193,241
TREMEDAL;BA;2010,316
TUCANO;BA;2198,237
UAUÁ;BA;3060,116
UBAÍRA;BA;659,138
UBAITABA;BA;181,102
UBATÃ;BA;177,643
UIBAÍ;BA;545,298
UMBURANAS;BA;1775,633
UNA;BA;1126,733
URANDI;BA;902,402
URUÇUCA;BA;510,098
UTINGA;BA;633,76
VALENÇA;BA;1123,975
VALENTE;BA;394,877
VÁRZEA DA ROÇA;BA;468,407
VÁRZEA DO POÇO;BA;206,478
VÁRZEA NOVA;BA;1225,892
VARZEDO;BA;221,399
VERA CRUZ;BA;297,537
VEREDA;BA;782,159
VITÓRIA DA CONQUISTA;BA;3254,186
WAGNER;BA;522,37
WANDERLEY;BA;2920,579
WENCESLAU GUIMARÃES;BA;655,057
XIQUE-XIQUE;BA;5079,662
SERRA DO NAVIO;AP;7713,046
AMAPÁ;AP;8454,847
PEDRA BRANCA DO AMAPARI;AP;9622,29
CALÇOENE;AP;14117,297
CUTIAS;AP;2179,114
FERREIRA GOMES;AP;4973,855
ITAUBAL;AP;1622,867
LARANJAL DO JARI;AP;30782,998
MACAPÁ;AP;6563,849
MAZAGÃO;AP;13294,778
OIAPOQUE;AP;23034,392
PORTO GRANDE;AP;4428,013
PRACUÚBA;AP;4948,508
SANTANA;AP;1541,224
TARTARUGALZINHO;AP;6684,705
VITÓRIA DO JARI;AP;2508,979
ALVARÃES;AM;5923,461
AMATURÁ;AM;4754,109
ANAMÃ;AM;2446,121
ANORI;AM;6036,38
APUÍ;AM;54240,545
ATALAIA DO NORTE;AM;76435,093
AUTAZES;AM;7652,852
BARCELOS;AM;122461,086
BARREIRINHA;AM;5751,765
BENJAMIN CONSTANT;AM;8695,391
BERURI;AM;17472,779
BOA VISTA DO RAMOS;AM;2589,407
BOCA DO ACRE;AM;21938,583
BORBA;AM;44236,184
CAAPIRANGA;AM;9455,539
CANUTAMA;AM;33642,732
CARAUARI;AM;25778,658
CAREIRO;AM;6096,21
CAREIRO DA VÁRZEA;AM;2627,474
COARI;AM;57970,768
CODAJÁS;AM;18700,713
EIRUNEPÉ;AM;14966,242
ENVIRA;AM;7505,794
FONTE BOA;AM;12155,427
GUAJARÁ;AM;7583,534
HUMAITÁ;AM;33111,143
IPIXUNA;AM;12109,779
IRANDUBA;AM;2216,817
ITACOATIARA;AM;8891,906
ITAMARATI;AM;25260,429
ITAPIRANGA;AM;4335,075
JAPURÁ;AM;55827,203
JURUÁ;AM;19442,548
JUTAÍ;AM;69457,415
LÁBREA;AM;68262,68
MANACAPURU;AM;7336,579
MANAQUIRI;AM;3973,259
MANAUS;AM;11401,092
MANICORÉ;AM;48315,023
MARAÃ;AM;16830,827
MAUÉS;AM;39991,066
NHAMUNDÁ;AM;14107,04
