municipio;uf;ano;Despesas Exceto Intraorçamentárias;Despesas Intraorçamentárias;Outros;01 - Legislativa;04 - Administração;06 - Segurança Pública;08 - Assistência Social;09 - Previdência Social;10 - Saúde;12 - Educação;15 - Urbanismo;17 - Saneamento;20 - Agricultura;23 - Comércio e Serviços;26 - Transporte;28 - Encargos Especiais
DUQUE DE CAXIAS;RJ;2013;1608172262.13;0.0;10183881.869999886;47338001.15;71484984.85;16803572.42;10765013.21;233432107.0;410313880.79;519320566.17;130717635.64;0.0;0.0;0.0;1837670.65;155974948.38
ENGENHEIRO PAULO DE FRONTIN;RJ;2013;37026458.1;0.0;278841.2599999979;1605955.31;14736218.43;0.0;1305675.31;0.0;8899822.83;7990484.23;1526129.53;0.0;0.0;683331.2;0.0;0.0
GUAPIMIRIM;RJ;2013;127619392.73;0.0;216032.23000000417;914679.84;58306334.35;0.0;2750788.12;0.0;30675609.57;25204959.4;9550989.22;0.0;0.0;0.0;0.0;0.0
IGUABA GRANDE;RJ;2013;64359996.71;0.0;2321620.440000005;2851997.82;12362377.31;2190981.62;3146160.27;328027.72;20893421.43;14294285.47;1028273.26;3847980.33;0.0;0.0;0.0;1094871.04
ITABORAI;RJ;2013;541647321.53;0.0;11463057.029999971;9675745.07;119234421.79;147685.21;1918625.06;26919178.53;168501645.34;166677785.78;30458085.16;1064707.79;398442.32;0.0;5187942.45;0.0
ITAGUAI;RJ;2013;384791857.19;19166964.33;22663911.619999945;3733293.28;127191265.31;236455.64;7439816.73;0.0;90539216.64;118398110.88;5690017.33;0.0;361071.6;0.0;23548220.29;4157442.2
ITALVA;RJ;2013;36769339.57;1944603.47;5552249.489999998;1701228.18;3500450.44;1133372.17;1345629.09;2697347.1;10047947.34;7958721.86;1671694.01;39300.0;1218817.93;0.0;635919.38;1211266.05
ITAOCARA;RJ;2013;48411155.6;1730453.88;47875968.71;2265640.77;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ITAPERUNA;RJ;2013;163344472.58;801945.62;1747324.0900000036;5137859.58;25573092.74;127048.72;3900007.34;6944337.02;60110937.01;43602504.37;12831912.04;729880.83;1046999.04;475394.58;995365.19;923755.65
ITATIAIA;RJ;2013;108884768.41;0.0;1934298.9200000018;5092085.61;31998648.54;45866.9;1552432.78;2157589.88;26257409.65;24957077.75;11402739.07;108853.72;416780.0;415990.54;0.0;2544995.05
JAPERI;RJ;2013;125141302.81;3916889.81;5032442.1400000155;4028589.63;15160113.97;0.0;1200528.29;5001316.61;30444851.96;53315367.83;13723331.73;1065529.52;44500.0;0.0;0.0;41620.94
LAJE DO MURIAE;RJ;2013;25025357.18;1180445.96;1753138.3499999978;1446785.15;3382356.95;0.0;910357.22;1199861.54;8018524.66;4321377.11;3939373.43;0.0;427594.66;657091.01;149343.06;0.0
MACAE;RJ;2013;1594191583.78;115407230.11;252607705.16999984;43609079.22;454498226.29;249180.82;22948351.16;13993576.98;379117830.14;340614488.3;93527259.24;19178529.41;6617615.24;0.0;70039408.59;12597563.33
MACUCO;RJ;2013;31962934.63;0.0;2751826.5999999978;1479854.16;5685569.05;41556.37;1101643.67;0.0;8007393.48;6363979.86;4331747.44;0.0;581230.17;1618133.83;0.0;0.0
MAGE;RJ;2013;341531334.7;4897154.41;11669371.02000004;4104179.49;38687222.69;2414176.33;7321529.43;11862275.21;79638217.95;125342274.26;59067105.9;0.0;39220.0;0.0;3052978.03;3229938.8
MANGARATIBA;RJ;2013;256765837.58;200829.44;10420181.5;10611848.94;64072641.0;0.0;887333.39;8563786.57;44282451.33;56937663.93;36192248.96;769964.53;0.0;3840929.0;4129708.43;16257909.44
MARICA;RJ;2013;360460473.73;5592432.68;32238300.75000006;7307390.08;86894957.82;0.0;2959852.38;13221289.47;64586540.66;70331434.64;67690363.64;0.0;7695.0;1321232.7;2465524.83;17028324.44
MENDES;RJ;2013;44145189.54;934612.28;1528570.059999995;1916707.6;6478644.32;32100.54;1972116.15;775083.63;12387069.66;13081450.13;3013808.06;51314.79;318906.51;1085553.95;1739839.39;698637.03
MESQUITA;RJ;2013;195309231.58;9711679.71;13371071.960000038;6190007.0;45504566.6;29450.66;1591407.38;367807.2;43548428.8;58821565.56;20978762.18;14617843.95;0.0;0.0;0.0;0.0
MIGUEL PEREIRA;RJ;2013;61494262.47;0.0;2772590.120000005;2922209.54;7892046.59;30583.74;1971160.68;3292053.6;17799820.84;15529643.67;4663526.86;234265.19;386569.5;1298868.02;2700924.12;0.0
MIRACEMA;RJ;2013;63208182.78;2751226.59;7141313.290000007;2348041.0;11417036.68;601320.0;2134652.0;6361540.0;15430382.0;13818959.7;3471023.6;0.0;2242842.5;0.0;764939.0;227359.6
NATIVIDADE;RJ;2013;52765289.89;0.0;622289.9300000072;1801497.7;13241528.61;0.0;569558.75;3585569.25;11627686.58;9900565.16;9359362.69;0.0;1043022.48;1014208.74;0.0;0.0
NILOPOLIS;RJ;2013;194552158.97;866291.0;10043970.810000002;6713489.73;47897833.95;2456344.57;1757888.12;0.0;55177481.96;42087546.4;24709508.83;0.0;0.0;155205.36;1253544.7;3165635.54
NITEROI;RJ;2013;1261009741.51;0.0;25297789.69999981;43342434.18;84648438.59;10354114.54;8268386.32;218951261.28;322762612.37;226531698.8;101258486.67;120569385.69;0.0;0.0;24464599.69;74560533.68
NOVA FRIBURGO;RJ;2013;299925987.99;0.0;3133697.4599999785;9856713.41;51588667.18;1730766.82;1582896.91;11246251.49;104228731.67;81042112.7;23344166.55;0.0;1243500.0;1466366.44;1515905.18;7946212.18
NOVA IGUACU;RJ;2013;912853361.67;88264705.68;106594949.19999981;17119212.28;119485826.94;2990665.34;6782947.29;113703723.53;273851339.58;248849981.02;74160858.62;885480.99;0.0;0.0;349794.86;36343287.7
PARACAMBI;RJ;2013;100157467.52;0.0;3960756.9099999964;2803155.91;9877086.34;1160134.08;1793593.31;2050237.61;35182712.06;25501956.49;14947885.24;0.0;219785.83;0.0;206974.32;2453189.42
PARAIBA DO SUL;RJ;2013;75634717.59;2242838.63;4486359.109999999;3195491.6;13352336.55;67607.63;342584.55;5402301.8;21154682.51;24164477.71;2924818.72;44086.0;43113.28;1048079.07;440989.84;1210627.85
PARATY;RJ;2013;149066155.11;0.0;5167014.5;4665664.3;20000504.68;4011519.29;3143594.65;0.0;46496424.88;28502704.59;29199589.26;114795.3;1850566.32;4677309.54;0.0;1236467.8
PATY DO ALFERES;RJ;2013;56995731.54;2599410.9;4871595.330000006;2500634.0;13790374.22;478058.2;1702216.62;2262741.28;16690014.91;13570537.1;1150754.56;117989.73;523347.9;1862358.36;0.0;74520.23
PETROPOLIS;RJ;2013;745259491.89;0.0;10819604.029999971;17827265.12;70022790.2;6968467.05;11190282.25;82788213.3;250708389.36;196271496.4;32416246.97;49789905.02;153943.47;5320486.14;0.0;10982402.58
PINHEIRAL;RJ;2013;46875687.77;0.0;3435355.8599999994;2079886.31;3813641.36;0.0;2053708.93;1964360.65;15478785.97;12034669.95;4326110.3;52150.0;748012.08;23998.6;920.0;864087.76
PIRAI;RJ;2013;132732646.47;5425429.67;18524880.96999997;6087177.03;20754616.82;0.0;1804754.58;8863007.44;38666653.57;30888907.96;3133977.65;3195136.7;1119697.61;102100.0;3164118.54;1853047.27
PORCIUNCULA;RJ;2013;45827795.01;2588231.75;3531610.160000004;1999357.94;5359003.97;130259.17;1772686.64;3861577.96;11883956.91;10635098.16;3753366.94;445689.87;1675244.14;722012.73;2333147.57;313014.6
PORTO REAL;RJ;2013;188946414.47;0.0;4128354.089999944;12668237.58;66440485.32;0.0;1283278.26;0.0;57299728.27;36319565.24;6181815.78;3410254.9;173482.93;0.0;171487.8;869724.3
QUATIS;RJ;2013;46965230.71;0.0;1289838.7800000012;1336557.21;8069217.92;1338620.82;1233849.44;667562.98;10606198.23;10166461.51;1189360.45;8018347.83;1783920.64;0.0;41238.47;1224056.43
QUEIMADOS;RJ;2013;194270240.76;0.0;5397564.569999993;5571249.29;50951869.95;0.0;4235820.73;8010712.17;46356443.33;50988800.74;22043709.88;150000.0;0.0;0.0;564070.1;0.0
QUISSAMA;RJ;2013;215819892.09;0.0;14409910.459999979;0.0;58502876.52;0.0;11001801.17;0.0;51789386.5;52591622.75;16292931.73;1335988.25;1659764.45;0.0;6865872.43;1369737.83
RESENDE;RJ;2013;341697154.4;13339810.36;24621186.620000064;11750084.22;70055497.25;1168468.52;6231901.19;14279620.8;107239960.92;79906862.6;21732550.66;3516449.58;337836.75;216.49;2835496.84;11360832.32
RIO BONITO;RJ;2013;154355077.14;3065088.98;3993645.3799999654;5037305.19;25867692.15;48012.7;1981875.49;7818380.39;66894058.75;37015057.71;6564100.37;0.0;19163.76;0.0;2095400.61;85473.62
RIO CLARO;RJ;2013;57554062.46;0.0;3803431.170000002;2820932.4;13461470.08;8866.9;1125189.84;3970564.59;15904032.75;12763605.6;1385036.02;0.0;0.0;1187464.69;0.0;1123468.42
RIO DAS FLORES;RJ;2013;36544272.46;0.0;3426898.789999999;1354319.93;5318608.68;0.0;1282943.31;458829.96;8890643.99;10199671.55;3949400.17;897755.68;0.0;300850.7;0.0;464349.7
RIO DAS OSTRAS;RJ;2013;614618119.71;12660137.12;86324475.61000001;12648946.11;83885101.64;19787540.16;17041269.31;9863093.28;128881128.3;122017845.91;47399085.55;81929743.55;10000.0;11465904.92;3036057.13;2988065.36
RIO DE JANEIRO;RJ;2013;17460720781.2;2315178778.06;3102610403.4900036;520702787.38;1186199036.64;310548693.8;577215685.25;2550778089.35;3396721387.8;3184768145.07;2854305704.52;686238970.72;0.0;110780416.24;222076641.66;1072953597.34
SANTA MARIA MADALENA;RJ;2013;40730961.6;0.0;1377793.9200000018;0.0;11858414.74;73200.07;1159522.82;2647500.99;9143770.38;11525126.08;1147960.99;7820.74;817199.99;433763.69;538887.19;0.0
SANTO ANTONIO DE PADUA;RJ;2013;75592636.63;-4725976.78;-2172561.1899999976;3267258.26;11352293.83;10559.14;1831721.81;3388918.37;20541711.85;22453484.96;8362101.97;0.0;176415.35;0.0;1654755.5;0.0
SAO FRANCISCO DE ITABAPOANA;RJ;2013;87432962.66;0.0;2551043.149999991;4183589.01;22326421.47;0.0;1154353.22;0.0;18099196.27;34906141.49;4115182.51;0.0;89532.67;0.0;7502.87;0.0
SAO FIDELIS;RJ;2013;71099658.86;3.0;5165041.360000007;2903458.0;9437729.01;0.0;6324562.4;5092044.94;12333690.02;16746178.98;9465345.61;384177.23;960453.5;0.0;0.0;2286980.81
SAO GONCALO;RJ;2013;790348597.54;0.0;22078545.569999933;17548053.7;91880506.3;0.0;13904195.96;15436879.46;286116843.41;203426580.83;120152615.32;0.0;2222.7;0.0;739236.61;19062917.68
SAO JOAO DA BARRA;RJ;2013;343800695.95;0.0;22328862.97999996;6321698.27;50313982.5;4090610.91;29064108.99;0.0;94239314.43;59169505.13;51573467.47;293817.67;2425310.76;16055389.16;6750951.69;1173675.99
SAO JOAO DE MERITI;RJ;2013;436975518.12;0.0;19608224.920000017;11800823.93;69579762.63;5857291.9;3008130.28;44960847.58;102277176.18;101118077.66;48243589.78;16967628.74;0.0;1593653.81;100000.0;11860310.71
SAO JOSE DE UBA;RJ;2013;29973747.87;0.0;871751.8600000031;1471926.75;8132049.79;0.0;1063857.65;230700.14;7721064.6;6046606.98;2632981.64;0.0;472922.2;0.0;1292360.83;37525.43
SAO JOSE DO VALE DO RIO PRETO;RJ;2013;42801428.23;0.0;2752355.789999999;1454636.78;8276817.43;37791.0;772762.85;1374863.3;13580375.65;13099487.56;7000.0;0.0;679464.12;259760.2;506113.55;0.0
SAO PEDRO DA ALDEIA;RJ;2013;133692501.72;0.0;3595930.4599999934;4669797.12;26050434.16;13281.24;3177610.09;7876549.2;29549461.72;42736818.2;13279771.8;12450.0;2910.0;287089.83;0.0;2440397.9
SAO SEBASTIAO DO ALTO;RJ;2013;32526748.4;645879.6;2175504.719999995;1686658.63;5074959.37;0.0;821568.23;3901365.13;8763265.88;6836260.86;2764333.93;0.0;156266.91;334323.66;0.0;658120.68
SAPUCAIA;RJ;2013;52807001.72;0.0;422321.909999989;2811440.81;15096155.47;0.0;2472287.1;4296609.42;11314100.58;12444466.36;2811242.81;0.0;225417.49;0.0;0.0;912959.77
SAQUAREMA;RJ;2013;168419816.17;0.0;1505907.7099999785;5741795.22;19720910.49;4085887.05;3070413.48;9116628.43;37762612.66;46115718.22;36675679.71;0.0;13815.24;585281.5;0.0;4025166.46
SEROPEDICA;RJ;2013;171940167.89;0.0;1140983.5999999642;5342728.69;25535809.29;2681724.12;3717295.21;5001599.37;35810264.28;69944171.04;14087578.42;0.0;0.0;0.0;8678013.87;0.0
SILVA JARDIM;RJ;2013;80761631.03;2995824.7;3897194.4599999934;2863589.48;17204919.55;0.0;1090454.09;4629959.87;22411454.59;23121961.61;4335130.45;0.0;71580.8;1068151.75;1053887.04;2009172.04
SUMIDOURO;RJ;2013;45089086.11;0.0;1349313.3899999931;2070352.72;8702001.0;121501.62;1651759.17;3102320.3;11846192.39;9088446.92;5747400.28;0.0;1059418.24;0.0;350380.08;0.0
TANGUA;RJ;2013;58157909.96;0.0;1078633.75;2440938.92;13628337.17;6171.39;621700.36;0.0;13314678.94;20868209.89;3624500.09;1284472.27;157842.51;0.0;8493.69;1123930.98
TERESOPOLIS;RJ;2013;340732219.9;15195193.04;26604939.74000001;10238406.5;24877429.69;4978628.11;13226257.61;38246709.61;86604986.7;107067257.15;25033968.44;0.0;2365813.51;3816962.63;0.0;12866053.25
TRAJANO DE MORAES;RJ;2013;42697445.39;0.0;1981133.6799999997;1903961.59;7970897.52;777534.0;1478079.37;3163634.21;7112693.98;8074989.72;7038922.78;0.0;195187.29;790940.71;1117084.98;1092385.56
VALENCA;RJ;2013;118112647.08;0.0;575335.7800000161;1250640.0;26767572.5;2920.24;3084813.65;4022757.62;37924409.17;31797208.0;6936783.96;14985.8;363521.0;4370.77;1602694.88;3764633.71
VARRE-SAI;RJ;2013;31450115.7;1546786.26;2214539.4899999984;1262514.32;9239102.84;16364.53;510137.09;1280948.87;5471351.8;8980508.12;1876870.72;7700.0;378369.28;601282.78;317113.67;840098.45
VASSOURAS;RJ;2013;83302457.24;3489222.54;6645569.5599999875;0.0;12288788.82;0.0;2258397.47;3963620.58;35768450.7;15374450.22;3486373.74;1562609.34;769396.84;232052.31;2959475.12;1482495.08
VOLTA REDONDA;RJ;2013;728990100.0;0.0;35633200.0;29288600.0;127362900.0;523500.0;24878300.0;48325300.0;210017100.0;169799200.0;7072200.0;51548700.0;0.0;0.0;8435900.0;16105200.0
ARARUAMA;RJ;2014;230718006.03;8393229.11;8539819.709999979;7234801.34;36260828.95;413351.81;5882229.94;16526383.07;53415832.86;76692110.81;26628898.22;0.0;8291.1;2191584.46;437989.87;4879113.0
AREAL;RJ;2014;39702550.38;3048469.58;5094956.280000001;1974215.94;11037593.3;0.0;1285519.25;3421273.22;9442059.1;10145811.96;53600.0;286803.91;9187.0;0.0;0.0;0.0
