municipio;uf;ano;Despesas Exceto Intraorçamentárias;Despesas Intraorçamentárias;Outros;01 - Legislativa;04 - Administração;06 - Segurança Pública;08 - Assistência Social;09 - Previdência Social;10 - Saúde;12 - Educação;15 - Urbanismo;17 - Saneamento;20 - Agricultura;23 - Comércio e Serviços;26 - Transporte;28 - Encargos Especiais
MACUCO;RJ;2014;30775454.68;0.0;2060040.6099999994;1555105.19;8919722.34;0.0;930563.63;0.0;7924990.43;5879303.27;2510497.11;0.0;398899.94;596332.16;0.0;0.0
MAGE;RJ;2014;347343742.83;3379557.72;11997510.660000086;8626913.09;34368107.37;2792176.84;10259015.41;12556938.31;85828915.33;129901996.57;46800939.19;493458.08;12680.0;411309.69;2452537.8;4220802.21
MANGARATIBA;RJ;2014;278351012.54;1336610.28;12925024.449999958;13655340.01;73574991.49;0.0;738796.43;9699368.39;50701325.42;61213532.14;38880215.1;0.0;0.0;3685455.6;3512583.8;11100989.99
MARICA;RJ;2014;489396284.88;0.0;46150004.599999964;9474889.09;101411474.94;29666.32;4865381.02;16134127.84;83414844.81;89665991.8;104236056.0;10586857.03;0.0;4222916.93;3169820.56;16034253.94
MENDES;RJ;2014;48298177.36;788110.27;1469590.1400000006;2020366.75;5685111.84;33328.98;2391346.47;707859.83;13484227.84;15604092.87;3552865.02;19309.5;397381.89;1253560.23;1844237.42;623008.85
MESQUITA;RJ;2014;223981452.68;9503837.42;17348139.99000001;7812217.6;60944516.97;0.0;704024.24;577990.7;59761421.58;65596318.89;17627819.71;0.0;0.0;0.0;3112840.42;0.0
MIGUEL PEREIRA;RJ;2014;68501375.04;0.0;4371159.439999998;3354104.61;7969325.68;30583.74;1773685.93;3493696.68;19052513.78;18250087.8;4723932.74;837187.07;445367.74;1936316.88;2263412.95;0.0
MIRACEMA;RJ;2014;72684107.76;1371230.73;6973092.580000006;2576763.98;14530367.39;910550.73;2657062.73;7487775.49;16363516.98;13639405.63;4032354.24;517252.52;2614808.21;0.0;708447.86;1043940.15
NATIVIDADE;RJ;2014;58735069.31;0.0;2324610.5200000107;1913213.02;11561653.8;0.0;543192.69;4330148.51;17124418.57;10837940.53;7800600.83;0.0;826817.66;0.0;0.0;1472473.18
NILOPOLIS;RJ;2014;216995011.6;0.0;8929387.849999964;0.0;42345004.28;2949753.09;2168294.9;33729702.85;56047175.45;43105505.26;22741932.78;0.0;0.0;0.0;1552054.31;3426200.83
NITEROI;RJ;2014;1518762714.57;0.0;50072260.799999714;48724744.13;156902472.16;15721776.79;10867037.01;224033550.02;350145117.06;290477928.81;85798556.22;152746912.64;0.0;0.0;48390326.66;84882032.27
NOVA FRIBURGO;RJ;2014;369650831.93;0.0;2198931.430000007;10669189.73;68490990.8;7890.0;2227564.38;22217395.0;119717660.2;97257874.21;30866195.81;0.0;488976.47;101000.0;119628.02;15287535.88
NOVA IGUACU;RJ;2014;1100972621.57;657424.41;25292832.610000134;0.0;131651232.49;0.0;11548046.64;149807129.86;304714001.34;270175083.55;89243917.76;353255.14;0.0;0.0;408525.04;118436021.55
PARACAMBI;RJ;2014;103095887.81;0.0;4332996.140000001;2716844.71;10618766.35;1389692.15;2288942.67;2083204.11;35051873.9;26683722.37;15680495.34;0.0;297752.54;0.0;224652.88;1726944.65
PARAIBA DO SUL;RJ;2014;85918993.24;2786884.67;8023767.049999982;3747465.65;17578612.85;116746.76;284569.7;6410904.5;21097031.4;26616471.47;1591341.1;91292.51;43427.66;1205277.35;379878.62;1519091.29
PARATY;RJ;2014;190250991.19;0.0;7947754.1400000155;5433042.45;27118634.73;3797224.9;4695237.87;0.0;54575081.45;32611973.18;34583398.84;9094502.65;1943171.39;4976294.39;3474675.2;0.0
PATY DO ALFERES;RJ;2014;63034370.99;0.0;2367217.009999998;2934960.45;13731467.62;2590.0;1971398.57;2947670.92;18242505.07;16900484.3;1832858.04;32179.0;565841.03;1492578.14;0.0;12620.84
PETROPOLIS;RJ;2014;812905351.81;41416369.02;62743364.92999995;22821784.46;70539730.58;136144.37;11360568.17;6048148.57;275957040.83;194071120.44;109123749.82;0.0;243000.88;1291423.77;0.0;99985644.01
PINHEIRAL;RJ;2014;57889058.7;1854654.29;7482009.490000002;0.0;5519791.55;0.0;2290035.7;2386132.98;20022758.64;14906077.72;6011972.53;32277.48;92702.75;49900.0;63653.96;886400.19
PIRAI;RJ;2014;138414788.97;5317257.56;18110367.040000007;5710578.15;20369089.73;0.0;2093690.47;10656867.59;39667220.25;33303842.81;4481563.48;2899380.73;1011937.2;86525.74;2832857.81;2508125.53
PORCIUNCULA;RJ;2014;48727090.64;2657319.21;3680697.4899999946;2221784.14;5676562.74;129704.54;1641458.77;4856584.12;13670047.2;10941003.39;3205952.66;0.0;1648487.46;863641.53;2493650.27;354835.54
PORTO REAL;RJ;2014;200357071.75;0.0;2902441.9399999976;12653294.37;61642188.59;2994.0;1099160.47;0.0;60651946.87;34248304.27;19243380.18;3810391.52;53446.6;0.0;2562373.4;1487149.54
QUATIS;RJ;2014;47943677.86;0.0;1499030.259999998;1659738.01;9136847.5;1586665.67;1562772.28;797638.5;11131135.44;13343667.5;1239395.04;2458531.17;2284902.78;0.0;130986.35;1112367.36
QUEIMADOS;RJ;2014;244134338.27;0.0;3451858.819999993;6587747.36;52683737.27;37299.76;5089995.91;9514768.95;62878771.61;62459409.56;40772648.12;304464.27;0.0;0.0;353636.64;0.0
RESENDE;RJ;2014;392102702.25;17701344.47;36096054.46000004;13853782.01;72611843.01;1766234.99;6849410.48;17830892.65;120591578.92;88399064.15;29895928.47;8286779.38;260492.37;85549.14;1870581.53;11405855.16
RIO BONITO;RJ;2014;178399531.21;0.0;1028457.1200000048;5651283.31;32776374.01;194036.69;1463664.54;9063080.92;69625388.94;42429629.78;12141601.53;0.0;228416.67;0.0;2915243.4;882354.3
RIO CLARO;RJ;2014;68168416.93;0.0;5782680.140000008;3124711.7;9786153.49;0.0;1349641.36;5626729.2;15899356.74;18389389.37;3601037.89;36344.69;24000.0;730132.89;2055093.77;1763145.69
RIO DAS FLORES;RJ;2014;45135753.16;0.0;4152547.7299999967;1839199.37;5892447.9;0.0;1590710.9;433273.14;12508214.63;11818014.45;5143863.5;1058190.25;0.0;305783.81;0.0;393507.48
RIO DAS OSTRAS;RJ;2014;684327101.98;17374461.63;92487056.92999995;13281687.04;90032189.51;21973603.81;19646100.97;8643208.16;152955648.85;148201643.48;42319109.82;89294911.11;223457.84;17339576.65;4533549.36;769820.08
RIO DE JANEIRO;RJ;2014;19061799193.54;2687821493.27;3604546421.4799995;652244870.43;1277755135.94;396534618.05;624406537.81;2910491946.99;3471242724.18;3140028571.82;3329295082.39;699231803.29;0.0;143689905.16;246443609.98;1253709459.29
SANTA MARIA MADALENA;RJ;2014;45127867.84;0.0;1178115.5799999908;0.0;11497131.69;56149.35;1361303.98;3425626.15;10955197.4;12405810.93;1298501.4;0.0;371143.84;1472991.56;1105895.96;0.0
SANTO ANTONIO DE PADUA;RJ;2014;87398920.12;3177700.96;7546038.900000006;3673313.32;13589045.31;5390.0;2540768.77;3020419.04;24848954.3;23668202.09;11646862.15;0.0;37627.2;0.0;0.0;0.0
SAO FRANCISCO DE ITABAPOANA;RJ;2014;107658981.89;0.0;6063555.1900000125;4669846.95;25689679.64;10493.07;1984279.86;0.0;22136942.56;39253194.67;5776922.32;0.0;1853921.53;0.0;220146.1;0.0
SAO FIDELIS;RJ;2014;70976610.98;0.0;3626170.8200000077;0.0;12601315.76;0.0;5553886.02;0.0;15991767.25;16749465.19;12235511.43;0.0;1548974.06;0.0;0.0;2669520.45
SAO GONCALO;RJ;2014;962562676.43;0.0;9923225.48000002;0.0;101097782.09;161058.6;13736038.62;78691930.63;331218181.55;235754804.77;154472857.31;15462053.88;5868.0;118146.17;806856.74;21113872.59
SAO JOAO DA BARRA;RJ;2014;389827179.45;0.0;22289737.070000052;22035472.24;53214601.8;5563416.09;32745453.17;0.0;113799166.63;72520682.33;51224070.76;282993.64;3894936.38;0.0;10453542.63;1803106.71
SAO JOAO DE MERITI;RJ;2014;403239100.05;0.0;22311828.77000004;12233905.07;54303090.88;4556606.29;3591785.21;43032844.5;101665963.13;89627651.28;37819804.82;9343651.37;0.0;1228972.28;377156.52;23145839.93
SAO JOSE DE UBA;RJ;2014;34101976.15;0.0;1259234.4000000022;1645719.92;9226735.77;0.0;1318862.3;259073.33;8623113.25;6300430.72;3612443.22;0.0;297339.8;0.0;1522609.92;36413.52
SAO JOSE DO VALE DO RIO PRETO;RJ;2014;55439282.61;0.0;3536000.6000000015;1623490.74;10682154.41;198458.39;812975.67;1463677.11;17234157.22;15877615.09;353436.19;0.0;998026.79;390669.92;2268620.48;0.0
SAO SEBASTIAO DO ALTO;RJ;2014;38687011.72;1127382.67;3966556.8500000015;1901757.73;6206755.58;0.0;1131201.84;4095702.39;10776527.68;8504179.31;2308073.8;0.0;170863.56;89969.33;134441.19;528365.13
SAPUCAIA;RJ;2014;57993726.74;0.0;1198832.1700000092;3023924.3;16077627.17;0.0;2748291.57;4788340.16;12001253.48;12923820.42;4119681.6;0.0;47379.61;0.0;0.0;1064576.26
SAQUAREMA;RJ;2014;193084501.66;0.0;3035737.150000006;6967983.53;16440668.73;3148481.02;5006243.05;11083017.21;43667975.87;53350839.06;43752665.81;0.0;799640.93;966607.13;0.0;4864642.17
SILVA JARDIM;RJ;2014;102809047.68;3282653.31;4472512.50000003;3431102.61;22880690.83;0.0;1695829.41;5365948.64;24834425.37;29485760.56;7516035.17;0.0;473438.58;1548425.63;2720213.37;1667318.32
SUMIDOURO;RJ;2014;45922880.15;0.0;914614.7700000033;1984951.14;9052149.39;145113.61;2020684.07;3617477.13;11789156.83;9735626.16;5160507.85;0.0;1145386.94;0.0;357212.26;0.0
TANGUA;RJ;2014;72101377.0;0.0;3298143.3399999887;2746428.27;14264004.89;4376.43;1129272.67;0.0;20419921.49;24447099.03;3798016.19;802625.76;169688.92;0.0;0.0;1021800.01
TERESOPOLIS;RJ;2014;379112347.15;10825984.98;25058405.129999995;12045858.57;25645107.24;6996175.4;14454007.96;46990744.39;96794963.2;109991175.51;28939873.59;0.0;2733316.96;3681008.96;0.0;16607695.22
TRAJANO DE MORAES;RJ;2014;43724731.46;0.0;1929535.6600000039;1856269.15;7014205.63;946323.57;1416778.3;3265164.91;8635987.33;9244700.97;5634287.66;364563.43;183039.64;975993.34;1267508.47;990373.4
TRES RIOS;RJ;2014;204406935.58;0.0;9219047.51000002;8187537.37;53099003.2;0.0;2328811.13;0.0;63201259.99;55270004.7;10228007.55;1328302.69;0.0;150000.0;0.0;1394961.44
VALENCA;RJ;2014;136455778.31;49259.56;1000773.0500000119;1315354.04;28816385.38;16305.0;3720732.15;5870233.15;40070353.41;39900735.2;9647422.03;11071.81;16140.0;172652.54;1959361.27;3987518.84
VARRE-SAI;RJ;2014;32991552.65;1708609.77;1930081.7599999942;1345133.24;10196922.31;16918.5;731890.48;1568119.01;6132458.16;8954110.74;1381561.72;7694.98;727429.51;730733.51;269657.87;707450.63
VASSOURAS;RJ;2014;102824600.51;3680586.46;7524620.839999989;578643.96;14893679.3;10308.0;2287156.19;5571321.7;45488241.55;18213122.4;4057692.04;2907060.84;378839.79;893871.93;3117789.46;582838.97
VOLTA REDONDA;RJ;2014;697064701.99;0.0;12996086.029999971;31006027.41;288297513.43;418139.91;7829111.08;29173.8;158014983.52;125977529.66;35785790.37;32123788.79;0.0;0.0;2948986.71;1637571.28
ANGRA DOS REIS;RJ;2015;727161651.31;0.0;7802037.339999914;32652821.1;175212681.64;1440194.99;5970979.35;55271217.24;243545327.99;138657650.33;38583507.07;1476361.34;967383.04;0.0;12103441.0;13478048.88
ARARUAMA;RJ;2015;258153926.59;8518493.31;8614510.060000032;7729479.43;46644791.6;237182.98;5931681.34;17905022.46;63712996.37;78045030.09;30145894.91;0.0;24262.51;2405181.5;463217.44;4813169.21
AREAL;RJ;2015;45355098.06;2918330.76;5690440.170000002;2199412.2;10857576.52;0.0;1799498.39;3876926.49;10981376.04;12321419.21;527.32;538332.48;7920.0;0.0;0.0;0.0
ARMACAO DOS BUZIOS;RJ;2015;168513530.34;0.0;3322832.269999981;5599173.39;27885849.32;11360732.85;841470.09;0.0;43468438.57;45619272.25;26900737.08;0.0;0.0;1408724.96;618597.29;1487702.27
ARRAIAL DO CABO;RJ;2015;125181116.15;0.0;13024790.02000001;3721024.88;28907331.63;554137.07;1900314.01;6496955.72;30684221.12;27050676.24;7559676.09;0.0;0.0;203278.28;443238.69;4635472.4
BARRA DO PIRAI;RJ;2015;176564157.74;6350639.75;10851880.340000004;5673545.64;38584421.68;2490215.85;3252625.02;15593679.19;44712784.72;48389499.32;7968263.74;103268.93;1849385.49;1268074.63;202528.0;1974624.94
BARRA MANSA;RJ;2015;354777903.71;0.0;9545137.299999893;0.0;56917836.54;38152.88;6070646.86;47258015.57;108319057.14;102328181.41;14073368.17;0.0;60304.8;100000.0;1276432.44;8790770.6
BELFORD ROXO;RJ;2015;549239067.67;0.0;18677522.669999957;14271669.14;107899731.08;305.05;5179538.21;25908483.35;143777964.57;188166784.85;36709553.06;167251.06;0.0;0.0;431478.84;8048785.79
BOM JARDIM;RJ;2015;72953921.57;0.0;1144870.3799999803;2278346.32;6189334.45;1222198.64;1345913.28;10305377.54;19355629.36;16742216.66;11037704.72;0.0;320368.51;668045.95;1358796.59;985119.17
BOM JESUS DO ITABAPOANA;RJ;2015;85384170.94;0.0;407460.21000000834;3531632.77;12690226.44;0.0;3160426.04;0.0;26641459.43;21419819.48;9672225.96;5457027.78;702560.49;17012.24;0.0;1684320.1
CABO FRIO;RJ;2015;648650235.23;14720556.36;21083186.099999905;15304113.7;107719142.93;0.0;7085271.54;44388679.21;203359915.27;151672499.62;75685049.12;0.0;2858.4;8366094.97;15389724.24;13314256.49
CACHOEIRAS DE MACACU;RJ;2015;143887722.64;2722957.22;10761461.549999982;5593964.01;22345162.54;49415.16;1116492.42;14405978.54;44873745.37;35064864.74;2069140.53;3839627.29;904100.0;1654221.1;1376754.72;2555751.89
CAMBUCI;RJ;2015;37221241.82;1100731.35;2675310.440000005;2111966.14;12862715.78;1219046.93;182084.68;0.0;10997184.67;6997687.57;140294.41;0.0;0.0;0.0;0.0;1135682.55
CARAPEBUS;RJ;2015;71040648.91;0.0;226997.68000000715;3446587.72;26511566.91;0.0;1972225.83;0.0;19628097.32;13277200.74;5770989.49;0.0;0.0;206983.22;0.0;0.0
COMENDADOR LEVY GASPARIAN;RJ;2015;30075995.44;0.0;795646.9300000034;525288.83;8113180.74;0.0;569847.07;1247974.76;8684713.93;7487509.22;1608982.15;58406.83;13536.0;0.0;0.0;970908.98
CAMPOS DOS GOYTACAZES;RJ;2015;1895275953.03;8117226.14;51287923.11000013;0.0;519919650.92;291307.18;50316887.84;127275943.88;620034326.71;324076213.18;99584946.7;64173421.1;1206416.23;752941.22;33494665.73;10978535.37
CANTAGALO;RJ;2015;75434717.36;0.0;1086296.799999997;3617287.33;8149084.98;979702.07;2168078.16;10738765.22;20831621.04;15887496.1;5774319.35;1961156.56;564702.33;1165254.58;1724790.05;786162.79
CARDOSO MOREIRA;RJ;2015;44162887.59;0.0;347215.6300000027;2207056.64;14321741.16;0.0;1796857.58;2398933.07;8630388.85;12247674.75;64734.05;0.0;1203789.2;0.0;708137.76;236358.9
CARMO;RJ;2015;61519260.17;0.0;3571212.6799999923;2531135.26;10010254.73;0.0;2551187.07;6148717.24;18047805.45;11677417.3;1862024.54;1934101.24;354546.5;1120159.0;1148793.32;561905.84
CASIMIRO DE ABREU;RJ;2015;222520305.01;9551479.36;22369140.47;6548320.11;43158692.79;529982.38;7299322.62;8326248.68;64859081.07;44799167.76;21260407.44;4725696.62;2143199.03;24556.36;1386691.0;4641278.04
CONCEICAO DE MACABU;RJ;2015;57236518.43;3512596.25;5185868.100000009;2515948.27;6800711.41;1068837.31;2610627.9;4395305.34;15189222.63;12282148.77;7566687.28;44264.3;1278430.39;1654644.25;0.0;156418.73
CORDEIRO;RJ;2015;59301793.01;0.0;1397730.7800000012;2292022.56;7706338.23;115094.5;1028237.01;6523942.87;16784138.79;14803715.89;7085291.27;215347.8;362227.44;987705.87;0.0;0.0
DUAS BARRAS;RJ;2015;41566836.27;0.0;1458896.3200000003;1784306.55;5322670.53;426314.99;1327097.24;4758706.56;11214543.6;9203614.08;2370562.19;0.0;591065.32;732821.84;1737156.4;639080.65
DUQUE DE CAXIAS;RJ;2015;1943190640.5;0.0;18270843.590000153;54581622.49;87716398.85;19641567.41;18636278.32;262229415.94;532303802.44;590349633.59;104949246.77;110929334.34;0.0;0.0;4141867.35;139440629.41
ENGENHEIRO PAULO DE FRONTIN;RJ;2015;45964947.23;0.0;2956743.9899999946;1988506.63;13642142.1;0.0;1188282.02;0.0;12006287.19;12373912.08;1350208.33;0.0;0.0;458864.89;0.0;0.0
GUAPIMIRIM;RJ;2015;131997953.5;0.0;203007.73000001907;929708.67;40108484.19;0.0;1227620.8;838.4;36080401.41;34584715.35;18863176.95;0.0;0.0;0.0;0.0;0.0
IGUABA GRANDE;RJ;2015;71385012.74;0.0;1197928.7099999934;3617962.56;17242882.52;14973.21;3027245.2;645871.13;18950145.06;18663855.01;6819319.86;0.0;12574.75;0.0;0.0;1192254.73
ITABORAI;RJ;2015;584811348.46;8881722.21;13904748.810000062;16762481.66;100270006.6;4000.0;2850148.47;35417273.42;169462328.94;191417591.22;62479999.75;0.0;0.0;0.0;1124491.8;0.0
ITAGUAI;RJ;2015;520550313.81;16076736.69;18155523.02999997;3411285.4;173756595.3;2373270.76;12569817.84;0.0;133899091.33;162036860.99;5051467.99;0.0;0.0;102.0;16839601.5;8533434.36
ITALVA;RJ;2015;40438024.64;1841731.75;5017647.740000002;1992498.65;3994971.47;1194780.26;1517277.92;3857923.37;11589918.98;9217463.1;1873726.69;0.0;1347734.93;0.0;0.0;675813.28
ITAOCARA;RJ;2015;57762689.97;1669816.83;2195512.700000003;2605868.25;5628432.44;0.0;2167241.15;7001062.01;16312604.37;11948955.2;6904896.14;0.0;670999.16;946809.94;1552288.29;1497837.15
ITAPERUNA;RJ;2015;238108156.78;1771286.81;13838311.290000051;5656214.78;22934264.3;1202082.59;6481605.78;7453577.74;117498703.18;50992111.75;8746128.82;253809.98;850460.35;460336.5;1122323.89;2389512.64
ITATIAIA;RJ;2015;127860011.7;167369.1;1459359.1400000006;5745345.57;44857887.71;160017.62;1771580.18;930795.21;25621383.71;30183173.2;14913658.12;398324.11;51523.6;139129.0;0.0;1795203.63
JAPERI;RJ;2015;168706618.56;0.0;4521385.080000013;5013288.73;11748781.21;1991749.11;4036327.27;7418330.67;35485893.15;75814393.01;21884076.38;0.0;524481.2;0.0;0.0;267912.75
LAJE DO MURIAE;RJ;2015;28706946.94;1164924.87;1706258.2100000046;1667301.09;2669268.28;0.0;2074429.29;1453252.45;7522804.32;6468278.39;4909415.12;0.0;423277.54;695633.66;93036.74;188916.72
MACAE;RJ;2015;1868556366.14;112627983.14;197720647.23000026;59581430.85;334025240.94;36596264.95;21865342.91;37453476.65;512644474.42;431187018.4;221644954.17;17248028.69;3477859.21;3119085.55;93763458.11;10857067.2
MACUCO;RJ;2015;29302155.96;0.0;1812510.7500000037;1625954.12;8282259.99;0.0;903089.65;0.0;8222187.48;5802784.0;1628690.27;0.0;512040.07;512639.63;0.0;0.0
MAGE;RJ;2015;369753795.63;6309699.19;16650911.550000012;9754044.89;37265897.02;1596659.36;8072890.04;4387511.93;91282675.85;157303038.54;46343236.73;0.0;588617.85;191951.78;2052330.37;573728.91
MANGARATIBA;RJ;2015;215525044.52;300835.06;11035173.379999995;16118452.65;47474837.02;14794.0;170479.7;10681511.21;43509616.59;50243931.64;23351790.35;0.0;0.0;581975.0;1082849.29;11560468.75
MARICA;RJ;2015;556779946.84;7306434.98;54306307.27000004;8620920.99;116670500.12;833926.82;7778181.38;18375006.86;94687325.16;103705922.65;116610256.57;9084027.44;5447.27;2367700.96;133316.73;30907541.6
MENDES;RJ;2015;44766994.25;141939.11;843449.3599999994;2013248.88;5810434.85;36963.42;2121183.35;1113393.28;11254871.55;14640007.18;3195758.66;4836.36;418935.65;891059.63;1917110.41;647680.78
MESQUITA;RJ;2015;211005552.6;1725878.43;7172666.940000027;7663832.49;75741308.6;0.0;504638.84;1001760.62;39757721.13;66604631.95;13759041.57;0.0;0.0;0.0;525828.89;0.0
MIGUEL PEREIRA;RJ;2015;73424741.27;0.0;4460083.659999996;3583524.83;8627277.65;33208.38;1771402.32;3936392.18;20956980.4;17622489.47;6934208.59;778827.94;464906.58;2304230.36;1951208.91;0.0
MIRACEMA;RJ;2015;78805195.98;681087.31;5915943.980000004;2762142.76;14654075.99;909248.38;2523299.55;8512879.42;17748181.25;16781557.61;3509637.05;1612749.56;2586888.29;0.0;611320.59;1358358.86
NATIVIDADE;RJ;2015;53610612.18;0.0;2307199.759999998;2075298.57;9600859.97;0.0;426840.7;5629384.19;14975454.57;10394480.76;5942842.92;0.0;719431.77;0.0;0.0;1538818.97
NILOPOLIS;RJ;2015;219234640.66;6950840.97;13631061.579999983;7761948.9;34168923.69;4081356.75;2306726.46;34188051.49;54073485.82;47024033.28;22487684.46;0.0;0.0;0.0;1621080.73;4841128.47
NITEROI;RJ;2015;1790190347.42;0.0;17373941.870000124;53091547.99;718435705.7;6606924.19;3235956.93;232797905.92;193112071.37;156976368.58;37821916.22;91895150.56;0.0;2800.0;62313012.54;216527045.55
NOVA FRIBURGO;RJ;2015;406996854.88;0.0;1020952.3600000739;11780139.79;76759463.63;20993.4;2836834.75;25740303.3;132242141.92;105712633.69;35298434.26;0.0;129459.27;1887691.31;766435.5;12801371.7
NOVA IGUACU;RJ;2015;1066763214.91;50580190.67;79476816.69999981;21957151.73;123581872.2;0.0;10572585.53;138475158.99;325701038.68;290659004.96;85679700.05;293400.01;0.0;0.0;846048.01;40100628.72
PARACAMBI;RJ;2015;107995209.67;0.0;4579041.760000005;3241000.61;11045907.82;1401059.58;2090244.96;1707362.62;36299179.57;30746667.82;14698985.1;0.0;338217.73;0.0;239245.63;1608296.47
PARAIBA DO SUL;RJ;2015;88492489.3;564752.91;7056107.199999973;3885505.94;14429553.33;72743.9;290984.42;7213634.53;23334541.63;28173779.99;1765816.3;16011.4;20411.44;396652.93;25974.23;2375524.97
PARATY;RJ;2015;211441989.07;0.0;7774678.75;6039997.31;26588537.33;3734295.71;5715938.99;0.0;54028756.82;36700703.35;47549666.83;12852449.69;2100405.47;4543302.44;2365285.26;1447971.12
PATY DO ALFERES;RJ;2015;63418437.14;0.0;1826859.8799999878;2888554.51;13494963.08;0.0;2080885.64;3811960.77;19811134.01;15085759.66;2104927.93;0.0;604207.03;1656651.75;0.0;52532.88
PETROPOLIS;RJ;2015;843590111.99;56233344.8;73206529.75999987;26251734.05;66886731.67;17055.0;12330707.36;6067806.74;289440565.57;192934443.16;63789059.26;57141321.03;62971.12;1005433.09;0.0;110689098.98
PINHEIRAL;RJ;2015;58675593.24;2179184.69;5479922.689999998;2350980.18;5544383.94;0.0;2275712.75;2663832.62;19897723.03;16283656.78;4926558.59;100333.17;3845.0;0.0;20848.64;1306980.54
PIRAI;RJ;2015;138565292.42;6568620.33;15496092.61;5797879.66;20048416.56;0.0;2180642.97;11856228.24;42235981.09;34235880.85;5064770.01;1744362.53;1809118.26;12644.04;2866985.63;1784910.3
PORCIUNCULA;RJ;2015;56747274.93;2935916.68;4196151.120000005;2294329.1;7537929.42;96017.62;2140334.69;5914174.38;14959501.33;12206783.79;4437161.14;78900.0;2144126.99;730992.33;2604027.94;342761.76
PORTO REAL;RJ;2015;156534302.92;0.0;335647.18000000715;10608240.42;47634904.1;0.0;624248.15;0.0;47793863.83;31802279.1;12085976.21;1674391.74;57319.95;0.0;1988906.76;1928525.48
QUATIS;RJ;2015;46580902.08;0.0;1397937.7600000054;1680172.09;9235790.46;1748524.42;1405374.34;933167.53;10480527.02;14259730.44;1378240.0;903350.58;1957456.3;0.0;56917.33;1143713.81
QUEIMADOS;RJ;2015;262700427.71;0.0;3830289.6399999857;7040871.62;58617621.23;775350.0;4156302.2;11898321.34;63441359.62;70822759.73;41700994.43;0.0;0.0;0.0;416557.9;0.0
QUISSAMA;RJ;2015;174185363.3;0.0;7729356.840000033;0.0;38615385.18;0.0;8722508.36;0.0;48589214.15;47046191.98;17013963.25;619999.91;73914.65;0.0;5093637.79;681191.19
RESENDE;RJ;2015;383510888.07;25876294.02;39118523.859999955;14715719.47;72067700.28;1188200.17;6283338.42;20674377.78;120279703.0;88952952.93;23556233.79;7790743.75;129273.72;17614.45;2762034.78;11850765.69
RIO BONITO;RJ;2015;167572841.94;0.0;718128.8199999928;5828480.17;29067065.2;57905.03;1220357.38;9697110.63;64720859.61;41891498.15;12396612.96;0.0;19040.73;0.0;1264006.77;691776.49
RIO CLARO;RJ;2015;63413057.37;0.0;7275588.260000005;3099633.35;6141090.02;1200.0;1291442.3;6180667.63;16216085.77;13452882.0;4865059.45;0.0;74360.44;608403.87;2222616.38;1984027.9
RIO DAS FLORES;RJ;2015;39018753.85;0.0;2061419.1800000072;1761546.63;4277640.47;0.0;1205487.16;454840.27;11597372.42;11547396.96;4578376.68;924532.97;0.0;187085.16;0.0;423055.95
RIO DAS OSTRAS;RJ;2015;507800043.82;16625109.36;55659893.94;14351710.66;73616793.44;15250592.24;15525238.04;13619376.82;116322938.22;132448804.66;23522773.54;54452447.07;60864.02;4053364.64;2606665.67;2933690.22
RIO DE JANEIRO;RJ;2015;21814745600.01;2803020376.3;4110416544.830002;688988049.55;1628013969.33;430175377.4;635636114.58;3260946778.12;3701491218.5;3791542492.71;4304139599.45;672545271.91;0.0;127860063.76;242043185.57;1023967310.6
SANTA MARIA MADALENA;RJ;2015;42480398.48;0.0;1258166.289999999;0.0;11109400.71;201876.97;1296100.58;2074464.55;10764155.84;12133556.56;1192885.29;0.0;228810.01;1525351.72;695629.96;0.0
SANTO ANTONIO DE PADUA;RJ;2015;96146764.15;3990324.81;6888943.26000002;3876492.55;12478632.74;358331.89;2933282.98;4527604.47;28229509.99;27863554.65;12959190.08;0.0;21546.35;0.0;0.0;0.0
SAO FRANCISCO DE ITABAPOANA;RJ;2015;106083742.0;0.0;3575577.9100000113;4421422.9;24142713.53;8556.19;2207794.58;0.0;21771376.45;41947871.54;7302074.61;0.0;695436.24;0.0;10918.05;0.0
SAO FIDELIS;RJ;2015;72270850.91;0.0;2388815.9899999946;0.0;10144201.16;0.0;5007654.41;0.0;18974215.86;20763359.3;11232840.31;0.0;994658.83;0.0;0.0;2765105.05
SAO GONCALO;RJ;2015;1003779800.7;0.0;25784916.599999785;0.0;197898155.77;162790.1;1876394.94;13011534.66;350216732.04;247812766.06;141512531.02;0.0;3638.0;1019457.44;698197.44;23782686.63
SAO JOAO DA BARRA;RJ;2015;383382001.16;0.0;30695613.24000013;9867026.25;49558770.78;6276819.81;28995063.3;0.0;106980093.28;81825092.11;52203332.24;27999.27;3779117.76;0.0;11149890.84;2023182.28
SAO JOAO DE MERITI;RJ;2015;430173885.77;0.0;23469882.420000017;11777300.05;61254472.68;6700900.63;3801548.29;44570832.68;101959255.83;94578059.31;47153293.82;24913101.92;0.0;0.0;0.0;9995238.14
SAO JOSE DE UBA;RJ;2015;31518771.97;0.0;991735.0399999954;1725490.49;8511137.09;0.0;1213694.01;334332.37;8737077.98;6272014.47;2415849.2;0.0;249790.1;0.0;981532.1;86119.12
SAO JOSE DO VALE DO RIO PRETO;RJ;2015;56972261.31;0.0;3928510.359999992;1785608.3;9474489.8;131293.09;831342.46;1730280.77;18425093.63;17092349.16;28383.0;0.0;1545302.46;370952.64;1628655.64;0.0
