municipio;ano;populacao
Cardoso Moreira;2011;12600
Carmo;2011;17599
Casimiro de Abreu;2011;36360
Comendador Levy Gasparian;2011;8200
Conceição de Macabu;2011;21415
Cordeiro;2011;20570
Duas Barras;2011;10976
Duque de Caxias;2011;861157
Engenheiro Paulo de Frontin;2011;13324
Guapimirim;2011;52522
Iguaba Grande;2011;23475
Itaboraí;2011;220351
Itaguaí;2011;111170
Italva;2011;14174
Itaocara;2011;22891
Itaperuna;2011;96541
Itatiaia;2011;29093
Japeri;2011;96429
Laje do Muriaé;2011;7455
Macaé;2011;212433
Macuco;2011;5298
Magé;2011;228972
Mangaratiba;2011;37343
Maricá;2011;131354
Mendes;2011;17980
Mesquita;2011;168966
Miguel Pereira;2011;24699
Miracema;2011;26826
Natividade;2011;15079
Nilópolis;2011;157710
Niterói;2011;489720
Nova Friburgo;2011;182747
Nova Iguaçu;2011;799047
Paracambi;2011;47634
Paraíba do Sul;2011;41366
Parati;2011;38146
Paty do Alferes;2011;26469
Petrópolis;2011;296565
Pinheiral;2011;22968
Piraí;2011;26636
Porciúncula;2011;17899
Porto Real;2011;16937
Quatis;2011;12951
Queimados;2011;139188
Quissamã;2011;20746
Resende;2011;120937
Rio Bonito;2011;56001
Rio Claro;2011;17517
Rio das Flores;2011;8633
Rio das Ostras;2011;110992
Rio de Janeiro;2011;6355949
Santa Maria Madalena;2011;10309
Santo Antônio de Pádua;2011;40735
São Fidélis;2011;37601
São Francisco de Itabapoana;2011;41370
São Gonçalo;2011;1008064
São João da Barra;2011;33136
São João de Meriti;2011;459379
São José de Ubá;2011;7048
São José do Vale do Rio Preto;2011;20398
São Pedro da Aldeia;2011;89739
São Sebastião do Alto;2011;8933
Sapucaia;2011;17553
Saquarema;2011;75905
Seropédica;2011;79178
Silva Jardim;2011;21355
Sumidouro;2011;14956
Tanguá;2011;31091
Teresópolis;2011;165716
Trajano de Moraes;2011;10308
Três Rios;2011;77851
Valença;2011;72268
Varre-Sai;2011;9599
Vassouras;2011;34637
Volta Redonda;2011;259011
Angra dos Reis;2016;191504
Aperibé;2016;11160
Araruama;2016;124940
Areal;2016;12058
Armação dos Búzios;2016;31674
Arraial do Cabo;2016;29077
Barra do Piraí;2016;97152
Barra Mansa;2016;180126
Belford Roxo;2016;494141
Bom Jardim;2016;26424
Bom Jesus do Itabapoana;2016;36031
Cabo Frio;2016;212289
Cachoeiras de Macacu;2016;56603
Cambuci;2016;14824
Campos dos Goytacazes;2016;487186
Cantagalo;2016;19727
Carapebus;2016;15293
Cardoso Moreira;2016;12538
Carmo;2016;18322
Casimiro de Abreu;2016;41167
Comendador Levy Gasparian;2016;8255
Conceição de Macabu;2016;22315
Cordeiro;2016;21158
Duas Barras;2016;11145
Duque de Caxias;2016;886917
Engenheiro Paulo de Frontin;2016;13521
Guapimirim;2016;57105
Iguaba Grande;2016;26430
Itaboraí;2016;230786
Itaguaí;2016;120855
Italva;2016;14647
Itaocara;2016;22736
Itaperuna;2016;99504
Itatiaia;2016;30475
Japeri;2016;100562
Laje do Muriaé;2016;7257
Macaé;2016;239471
Macuco;2016;5417
Magé;2016;236319
Mangaratiba;2016;41557
Maricá;2016;149876
Mendes;2016;18111
Mesquita;2016;171020
Miguel Pereira;2016;24855
Miracema;2016;26607
Natividade;2016;14986
Nilópolis;2016;158319
Niterói;2016;497883
Nova Friburgo;2016;185102
Nova Iguaçu;2016;797435
Paracambi;2016;50071
Paraíba do Sul;2016;42737
Parati;2016;40975
Paty do Alferes;2016;26939
Petrópolis;2016;298158
Pinheiral;2016;24076
Piraí;2016;28088
Porciúncula;2016;18156
Porto Real;2016;18552
Quatis;2016;13666
Queimados;2016;144525
Quissamã;2016;23125
Resende;2016;126084
Rio Bonito;2016;57963
Rio Claro;2016;17850
Rio das Flores;2016;8943
Rio das Ostras;2016;136626
Rio de Janeiro;2016;6498837
Santa Maria Madalena;2016;10198
Santo Antônio de Pádua;2016;41246
São Fidélis;2016;37696
São Francisco de Itabapoana;2016;41240
São Gonçalo;2016;1044058
São João da Barra;2016;34884
São João de Meriti;2016;460541
São José de Ubá;2016;7236
São José do Vale do Rio Preto;2016;21017
São Pedro da Aldeia;2016;98470
São Sebastião do Alto;2016;9075
Sapucaia;2016;17604
Saquarema;2016;83750
Seropédica;2016;83667
Silva Jardim;2016;21279
Sumidouro;2016;15153
Tanguá;2016;32703
Teresópolis;2016;174587
Trajano de Moraes;2016;10351
Três Rios;2016;79230
Valença;2016;73997
Varre-Sai;2016;10500
Vassouras;2016;35622
Volta Redonda;2016;263659
Angra dos Reis;2020;207044
Aperibé;2020;11901
Araruama;2020;134293
Areal;2020;12669
Armação dos Búzios;2020;34477
Arraial do Cabo;2020;30593
Barra do Piraí;2020;100764
Barra Mansa;2020;184833
Belford Roxo;2020;513118
Bom Jardim;2020;27616
Bom Jesus do Itabapoana;2020;37203
Cabo Frio;2020;230378
Cachoeiras de Macacu;2020;59303
Cambuci;2020;15514
Campos dos Goytacazes;2020;511168
Cantagalo;2020;20168
Carapebus;2020;16586
Cardoso Moreira;2020;12821
Carmo;2020;19030
Casimiro de Abreu;2020;45041
Comendador Levy Gasparian;2020;8576
Conceição de Macabu;2020;23398
Cordeiro;2020;22041
Duas Barras;2020;11528
Duque de Caxias;2020;924624
Engenheiro Paulo de Frontin;2020;14071
Guapimirim;2020;61388
Iguaba Grande;2020;28837
Itaboraí;2020;242543
Itaguaí;2020;134819
Italva;2020;15299
Itaocara;2020;23222
Itaperuna;2020;103800
Itatiaia;2020;32064
Japeri;2020;105548
Laje do Muriaé;2020;7326
Macaé;2020;261501
Macuco;2020;5623
Magé;2020;246433
Mangaratiba;2020;45220
Maricá;2020;164504
Mendes;2020;18648
Mesquita;2020;176569
Miguel Pereira;2020;25581
Miracema;2020;27154
Natividade;2020;15311
Nilópolis;2020;162693
Niterói;2020;515317
Nova Friburgo;2020;191158
Nova Iguaçu;2020;823302
Paracambi;2020;52683
Paraíba do Sul;2020;44518
Parati;2020;43680
Paty do Alferes;2020;27858
Petrópolis;2020;306678
Pinheiral;2020;25364
Piraí;2020;29545
Porciúncula;2020;18960
Porto Real;2020;19974
Quatis;2020;14435
Queimados;2020;151335
Quissamã;2020;25126
Resende;2020;132312
Rio Bonito;2020;60573
Rio Claro;2020;18605
Rio das Flores;2020;9344
Rio das Ostras;2020;155193
Rio de Janeiro;2020;6747815
Santa Maria Madalena;2020;10392
Santo Antônio de Pádua;2020;42594
São Fidélis;2020;38710
São Francisco de Itabapoana;2020;42210
São Gonçalo;2020;1091737
São João da Barra;2020;36423
São João de Meriti;2020;472906
São José de Ubá;2020;7206
São José do Vale do Rio Preto;2020;21916
São Pedro da Aldeia;2020;106049
São Sebastião do Alto;2020;9387
Sapucaia;2020;18249
Saquarema;2020;90583
Seropédica;2020;83092
Silva Jardim;2020;21774
Sumidouro;2020;15667
Tanguá;2020;34610
Teresópolis;2020;184240
Trajano de Moraes;2020;10640
Três Rios;2020;82142
Valença;2020;76869
Varre-Sai;2020;11106
Vassouras;2020;37083
Volta Redonda;2020;273988
