municipio;ano;Royalties Estado;Cessão Onerosa - PBAM;Royalties - ANP;Royalties - CFH;Royalties - CFM;Royalties - FEP;Royalties - PEA;Total Geral
RIO CLARO;2017;1275669.09;0;5891781.05;215946.93;14886.24;148514.71;0;7546798.02
RIO CLARO;2018;2342393.02;0;9115328.48;171652.50;8528.10;228051.65;0;11865953.75
RIO CLARO;2019;2322651.64;772996.15;10025130.70;344367.99;7413.10;227778.81;0;13700338.39
RIO CLARO;2020;2589160.53;0;10275027.35;214744.94;6762.26;225698.95;0;13311394.03
RIO DAS FLORES;2016;646119.01;0;5698541.49;0;;56407.77;0;6401068.27
RIO DAS FLORES;2017;825793.84;0;7239056.61;0;206.02;74257.36;0;8139313.83
RIO DAS FLORES;2018;1312031.28;0;20789708.36;0;858.43;114025.82;0;22216623.89
RIO DAS FLORES;2019;1353810.76;386498.07;20529131.24;0;63992.96;113889.42;0;22447322.45
RIO DAS FLORES;2020;1402459.12;0;20398705.22;0;24507.05;112849.49;0;21938520.88
RIO DAS OSTRAS;2016;2704022.26;0;84710770.77;0;;338446.62;7015134.24;94768373.89
RIO DAS OSTRAS;2017;3564324.43;0;99168029.27;0;;445544.18;17140235.32;120318133.20
RIO DAS OSTRAS;2018;5090767.60;0;154727416.19;0;;684154.89;52697514.00;213199852.68
RIO DAS OSTRAS;2019;4949808.01;3241192.94;128676192.18;0;;955082.58;19359217.81;157181493.52
RIO DAS OSTRAS;2020;4996240.38;0;105882481.89;0;;946583.30;2221481.59;114046787.16
RIO DE JANEIRO;2016;81043817.20;0;67790345.91;0;1264072.66;2321516.54;20027046.16;172446798.47
RIO DE JANEIRO;2017;105055668.93;0;96803964.30;0;510922.12;3098877.00;72790224.93;278259657.28
RIO DE JANEIRO;2018;161146400.27;0;182127055.23;0;345531.24;4773080.06;147371376.92;495763443.72
RIO DE JANEIRO;2019;165237202.24;18236320.36;188468745.41;0;1514168.31;5467194.20;160378803.50;539302434.02
RIO DE JANEIRO;2020;172239733.51;0;196844955.29;0;1180524.74;5483867.97;141583919.78;517333001.29
SANTA MARIA MADALENA;2016;959216.33;0;3859940.66;0;;75210.36;0;4894367.35
SANTA MARIA MADALENA;2017;1268075.84;0;5155310.95;0;8537.18;99009.82;0;6530933.79
SANTA MARIA MADALENA;2018;1929895.40;0;7975912.41;0;;114025.82;0;10019833.63
SANTA MARIA MADALENA;2019;2078837.38;515330.77;8771989.33;0;;151852.56;0;11518010.04
SANTA MARIA MADALENA;2020;2191350.00;0;8990648.88;0;;150465.94;0;11332464.82
SANTO ANTONIO DE PADUA;2016;922213.92;0;5698007.78;0;22558.74;169223.31;0;6812003.75
SANTO ANTONIO DE PADUA;2017;1220591.96;0;7610211.91;0;36485.32;222772.09;0;9090061.28
SANTO ANTONIO DE PADUA;2018;1950036.52;0;11773966.00;0;34014.17;342077.44;0;14100094.13
SANTO ANTONIO DE PADUA;2019;2149415.20;1159494.22;12949127.12;0;26050.51;341668.24;0;16625755.29
SANTO ANTONIO DE PADUA;2020;2265522.04;0;13271886.44;0;28474.91;338548.42;0;15904431.81
SAO FIDELIS;2016;893750.50;0;5514201.05;0;66278.79;169223.31;0;6643453.65
SAO FIDELIS;2017;1210424.65;0;7364722.28;0;27502.58;222772.09;0;8825421.60
SAO FIDELIS;2018;1904719.88;0;11394160.65;0;19036.63;342077.44;0;13659994.60
SAO FIDELIS;2019;2001843.39;1159494.22;12531413.35;0;47733.36;341668.24;0;16082152.56
SAO FIDELIS;2020;2083464.15;0;12843784.25;0;33704.68;338548.42;0;15299501.50
SAO FRANCISCO DE ITABAPOANA;2016;1292238.02;0;5698007.78;0;133797.68;169223.31;0;7293266.79
SAO FRANCISCO DE ITABAPOANA;2017;1803977.92;0;7610217.64;0;91925.08;222772.09;0;9728892.73
SAO FRANCISCO DE ITABAPOANA;2018;2844490.50;0;11773966.00;0;76886.32;342077.44;0;15037420.26
SAO FRANCISCO DE ITABAPOANA;2019;2920336.62;1159494.22;12949127.12;0;108830.51;341668.24;0;17479456.71
SAO FRANCISCO DE ITABAPOANA;2020;2980223.63;0;13271910.36;0;208095.17;338548.42;0;16798777.58
SAO GONCALO;2016;6159478.11;0;9998863.72;0;142182.39;477699.56;0;16778223.78
SAO GONCALO;2017;8350567.38;0;12881410.04;0;44841.95;629284.34;0;21906103.71
SAO GONCALO;2018;12825970.84;0;21453474.06;0;127343.49;965972.16;0;35372760.55
SAO GONCALO;2019;13544979.25;3370025.63;22736993.97;0;79880.75;993045.71;0;40724925.31
SAO GONCALO;2020;13754901.50;0;21427862.51;0;45128.77;984199.77;0;36212092.55
SAO JOAO DA BARRA;2016;1636645.05;0;70648753.41;0;1107.18;150420.71;28154496.32;100591422.67
SAO JOAO DA BARRA;2017;3366736.10;0;80771576.43;0;;198019.64;33923781.06;118260113.23
SAO JOAO DA BARRA;2018;5537779.35;0;115824825.56;0;;304068.84;49960315.29;171626989.04
SAO JOAO DA BARRA;2019;5090963.61;1030661.53;105872225.36;0;;303705.10;29300855.26;141598410.86
SAO JOAO DA BARRA;2020;5710969.49;0;94258596.23;0;5691246.70;300931.96;5871.06;105967615.44
SAO JOAO DE MERITI;2016;2854878.25;0;7352268.13;0;;477699.56;0;10684845.94
SAO JOAO DE MERITI;2017;3741557.09;0;9819617.65;0;;629284.34;0;14190459.08
SAO JOAO DE MERITI;2018;5978383.74;0;15192214.28;0;;965972.16;0;22136570.18
SAO JOAO DE MERITI;2019;6374196.56;3370025.63;16708551.19;0;;993045.71;0;27445819.09
SAO JOAO DE MERITI;2020;6182949.83;0;17125045.65;0;;984199.77;0;24292195.25
SAO JOSE DE UBA;2016;583499.55;0;3676133.98;0;;56407.77;0;4316041.30
SAO JOSE DE UBA;2017;766920.09;0;4909817.84;0;;74257.36;0;5750995.29
SAO JOSE DE UBA;2018;1186798.57;0;7596107.02;0;;114025.82;0;8896931.41
SAO JOSE DE UBA;2019;1257568.29;386498.07;8354275.49;0;3235.92;113889.42;0;10115467.19
SAO JOSE DE UBA;2020;1382237.89;0;8562522.71;0;3332.52;112849.49;0;10060942.61
SAO JOSE DO VALE DO RIO PRETO;2016;651811.68;0;4776268.20;23854.94;791.11;112815.55;0;5565541.48
SAO JOSE DO VALE DO RIO PRETO;2017;869429.22;0;6382745.33;27249.71;1678.49;148514.71;0;7429617.46
SAO JOSE DO VALE DO RIO PRETO;2018;1476601.41;0;9874873.56;26056.58;818.29;228051.65;0;11606401.49
SAO JOSE DO VALE DO RIO PRETO;2019;1553693.53;772996.15;10860558.21;29695.28;1671.66;227778.81;0;13446393.64
SAO JOSE DO VALE DO RIO PRETO;2020;1624967.54;0;11131255.66;38370.34;1501.79;225698.95;0;13021794.28
SAO PEDRO DA ALDEIA;2016;1044606.51;0;6614335.26;0;133682.20;282038.85;0;8074662.82
SAO PEDRO DA ALDEIA;2017;1400958.04;0;8837637.72;0;129658.46;371286.81;0;10739541.03
SAO PEDRO DA ALDEIA;2018;2145564.34;0;13672927.16;0;60588.43;570129.06;0;16449208.99
SAO PEDRO DA ALDEIA;2019;2407043.45;2061323.07;15037696.10;0;53621.62;607410.23;0;20167094.47
SAO PEDRO DA ALDEIA;2020;2616145.29;0;15412469.31;0;53531.80;601863.88;0;18684010.28
